artist (original),"""Best"" pair",Similarity,Character difference,Operations to transform
Wide World Photos,Rienold Postma,0.5806451612903226,11,6
Bicicleta Sem Freio,Nicola De Francesco,0.5789473684210527,11,7
East Los Streetscapers,Master of Siresa,0.5789473684210527,13,8
Thukral & Tagra,Phurba Namgay,0.5714285714285714,10,8
Ekta,Eva,0.5714285714285714,2,1
Ejagham people,Graham Crowley,0.5714285714285714,7,5
Ejagham people,Abraham Speeck,0.5714285714285714,9,5
Ejagham people,Graham Thorley,0.5714285714285714,7,5
DEFI,DEC,0.5714285714285714,2,1
Zas,Raps,0.5714285714285714,2,2
Tm,Tempi,0.5714285714285714,3,2
Yi,Li Yi,0.5714285714285714,3,1
Yi,Fu Yi,0.5714285714285714,3,1
Yi,Ya Qi,0.5714285714285714,3,1
Yi,Bi Yi,0.5714285714285714,3,1
Oror,Orla Borch,0.5714285714285714,6,2
JADE,DEC,0.5714285714285714,3,2
Tec,Trez,0.5714285714285714,2,2
Yi,Yi Wu,0.5714285714285714,3,1
Tec,Cesc,0.5714285714285714,2,2
Tec,Tōei,0.5714285714285714,2,2
Tec,Teju,0.5714285714285714,1,1
Oz,Orazi,0.5714285714285714,3,2
PAW,A.W.,0.5714285714285714,3,3
PAW,KAWS,0.5714285714285714,2,2
PRESTO,PESU-ART,0.5714285714285714,6,3
NOX,NOF4,0.5714285714285714,1,1
Detroit Publishing Co.,Peter Cushing,0.5714285714285714,13,6
Sketchy,Stucchi,0.5714285714285714,5,3
Yi,Ylipe,0.5714285714285714,3,2
Egr,Erró,0.5714285714285714,3,2
Yi,Yu Ji,0.5714285714285714,3,1
De Arbeiderspers,Aase Seidler Gernes,0.5714285714285714,9,5
DRAW,ROA,0.5714285714285714,3,3
Singer Manufacturing Company,Sine MacKinnon,0.5714285714285714,16,7
DRAW,RAF,0.5714285714285714,2,2
ABEL,KEL,0.5714285714285714,2,1
JADE,JAS,0.5714285714285714,2,1
ABEL,GAL,0.5714285714285714,3,2
ABEL,AsB,0.5714285714285714,3,2
ER,GERMS,0.5714285714285714,3,2
OZI,HOBI,0.5714285714285714,2,2
Unidentified,Andrew Mansfield,0.5714285714285714,10,6
Dufva,Dudu Geva,0.5714285714285714,1,1
De Arbeiderspers,Per Pedersen,0.5714285714285714,9,6
De Arbeiderspers,Ole Pedersen,0.5714285714285714,8,5
The Illustrated London News,Georgette London Owens,0.5714285714285714,13,6
OZI,ZIKS,0.5714285714285714,3,2
Singer Manufacturing Company,Manuel Cantos Company,0.5714285714285714,14,4
Norf,Nora Jaffe,0.5714285714285714,6,2
Proto-Elamite,Prokop Laichter,0.5714285714285714,8,5
Zas,Zaya,0.5714285714285714,1,1
Zas,Zuka,0.5714285714285714,3,2
RERO,SEO,0.5714285714285714,2,2
RERO,ROA,0.5714285714285714,3,2
Egr,Erté,0.5714285714285714,3,2
Zas,Maes,0.5714285714285714,2,2
Zas,Last,0.5714285714285714,2,2
Zas,Paps,0.5714285714285714,2,2
WSC,KAWS,0.5714285714285714,3,2
Gorham Manufacturing Company,Manuel Cantos Company,0.5714285714285714,14,4
Ewe,Enen,0.5714285714285714,2,2
SOLA,ROA,0.5714285714285714,2,2
Jaw,Jala,0.5714285714285714,1,1
BRK,SARK,0.5714285714285714,1,1
Jaw,Juan,0.5714285714285714,2,2
Jaw,Jiva,0.5714285714285714,3,2
Jaw,Jaca,0.5714285714285714,1,1
MAC,GOMA,0.5714285714285714,3,2
Legz,Leo,0.5714285714285714,2,1
SOLA,SEO,0.5714285714285714,3,2
SPOK,SEO,0.5714285714285714,2,2
Ijo,Isol,0.5714285714285714,2,2
STM,SAMI,0.5714285714285714,2,2
SUES,SEO,0.5714285714285714,2,2
SUES,SHE,0.5714285714285714,2,2
