artist,Nationality,citizenship,gender,styles,movement,Art500k_Movements,birth_place,death_place,birth_year,death_year,FirstYear,LastYear,wikiart_pictures_count,locations,locations_with_years,styles_extended,StylesCount,StylesYears,occupations,PaintingsExhibitedAt,PaintingsExhibitedAtCount,PaintingSchool,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,Contemporary,Type
Petre Abrudan,Romanian,Romania,male,"Expressionism, Impressionism",Impressionism,"{Impressionism,Expressionism:9}",Sutoru,Cluj-Napoca,1907.0,1979.0,1937.0,1976.0,9.0,,[],"{Expressionism:8},{Impressionism:1}","{Expressionism:8}, {Impressionism:1}","Expressionism:1937-1976,Impressionism:1938-1938","painter,mosaicist",,,,,,,,,No,
Pierre Alechinsky,"French,Belgian",Belgium,male,"Expressionism, Neo-Expressionism, Surrealism, Tachisme, Unknown",Art Informel,"{Art Informel,Tachisme:220}",Saint-Gilles - Sint-Gillis,,1927.0,,1946.0,2005.0,220.0,Bougival,[],"{Expressionism:34},{Neo-Expressionism:90},{Surrealism:39},{Tachisme:55},{Unknown:2}","{Surrealism:40}, {Neo-Expressionism:92}, {Tachisme:55}, {Expressionism:40}, {Cartographic Art:11}","Surrealism:1951-2005,Neo-Expressionism:1970-1986,Tachisme:1949-1992,Expressionism:1946-1978","drawer,printmaker,etcher,ceramicist,visual artist,painter,illustrator,artist,writer","London, US, UK, Tate Britain, NY, New York City","{Tate Britain:2},{London:2},{UK:2},{New York City:2},{NY:2},{US:2}","COBRA,Jeune Peinture Belge,Phases",,,,,,Yes,
Pietro Lazzari,"Italian,American",Kingdom of Italy,male,Expressionism,Expressionism,"{Expressionism,Futurism:21}",Rome,,1895.0,1979.0,1950.0,1972.0,21.0,,[],{Expressionism:21},{Expressionism:21},Expressionism:1950-1972,"sculptor,painter",,,,,,,,,No,
Pinchus Kremegne,"Belarusian,Jewish",Russian Empire,male,Expressionism,Expressionism,{Expressionism:12},Zhaludok,Céret,1890.0,1981.0,1948.0,1948.0,12.0,"Russia,Paris",['Paris:1912-1912'],{Expressionism:12},{Expressionism:12},Expressionism:1948-1948,"lithographer,sculptor,painter",,,"La Ruche,École de Paris",,,,,"Michel Kikoine,Chaim Soutine,",No,
Piroska Szanto,Hungarian,Hungary,female,"Expressionism, Surrealism",Surrealism,{Surrealism:17},Kiskunfélegyháza,Budapest,1913.0,1998.0,1941.0,1991.0,37.0,,[],"{Expressionism:11},{Surrealism:26}","{Expressionism:11}, {Surrealism:6}","Expressionism:1941-1991,Surrealism:1943-1986","textile artist,graphic artist,painter,illustrator,writer",,,,,,,,,,
Prudence Heward,Canadian,Canada,female,Expressionism,Expressionism,{Expressionism:24},Montreal,Los Angeles,1896.0,1947.0,1927.0,1946.0,24.0,,[],{Expressionism:24},{Expressionism:24},Expressionism:1927-1946,"painter,singer",,,"Canadian Group of Painters,Beaver Hall Group",,,,,,No,
Ramon Oviedo,Dominican,Dominican Republic,male,"Expressionism, Surrealism",Expressionism,{Expressionism:41},Santa Cruz de Barahona,Santo Domingo,1924.0,2015.0,1994.0,2004.0,41.0,,[],"{Expressionism:23},{Surrealism:18}","{Expressionism:35}, {Surrealism:18}, {Cubism:3}","Expressionism:1998-2004,Surrealism:1994-1994,Cubism:1994-1994",painter,,,,,,,,,Yes,
Remedios Varo,"Spanish,Mexican",Spain,female,"Expressionism, Metaphysical art, Surrealism",Surrealism,{Surrealism:112},Anglès,Mexico City,1908.0,1963.0,1926.0,1963.0,112.0,"Paris,Barcelona,Mexico City,Q2807",[],"{Expressionism:1},{Metaphysical art:8},{Surrealism:103}","{Surrealism:103}, {Metaphysical art:8}, {Expressionism:1}","Surrealism:1935-1963,Metaphysical art:1948-1960,Expressionism:1926-1926","drawer,sculptor,painter",,,,,,,,,No,
Roberto Montenegro,,Mexico,male,"Expressionism, Metaphysical art, Naïve Art (Primitivism), Surrealism, Unknown",Muralism,,Guadalajara,Mexico City,1887.0,1968.0,,,9.0,,[],"{Expressionism:2},{Metaphysical art:1},{Naïve Art (Primitivism):1},{Surrealism:2},{Unknown:3}",,,"lithographer,sculptor,painter,illustrator",,,,,,,,,,
Sattar Bahlulzade,,Azerbaijan Democratic Republic,male,"Expressionism, Impressionism, Neo-Impressionism, Socialist Realism",Impressionism,,"Əmircan, Baku",Moscow,1909.0,1974.0,1971.0,1972.0,55.0,,[],"{Expressionism:2},{Impressionism:3},{Neo-Impressionism:33},{Socialist Realism:17}",,,painter,,,,,,,,,No,
Sidney Nolan,Australian,Australia,male,"Expressionism, Surrealism",Surrealism,{Surrealism:22},Carlton,London,1917.0,1992.0,1945.0,1983.0,22.0,Britain,['Britain:1950-1950'],"{Expressionism:5},{Surrealism:17}","{Surrealism:17}, {Expressionism:16}","Surrealism:1946-1979,Expressionism:1950-1972","visual artist,painter,illustrator,artist","Canberra, Australia","{Canberra:1},{Australia:1}",,,,,,,,
Sorin Ilfoveanu,Romanian,Romania,male,"Expressionism, Surrealism",Contemporary,{Contemporary:17},Câmpulung,,1946.0,,1981.0,2009.0,17.0,,[],"{Expressionism:2},{Surrealism:15}","{Surrealism:15}, {Expressionism:2}","Surrealism:1993-2009,Expressionism:1981-1986","graphic artist,painter",,,,,,,,,Yes,
Spyros Papaloukas,Greek,Greece,male,"Expressionism, Impressionism, Post-Impressionism",Expressionism,{Expressionism:52},Desfina,Athens,1892.0,1957.0,1916.0,1956.0,52.0,,[],"{Expressionism:32},{Impressionism:2},{Post-Impressionism:18}","{Expressionism:32}, {Post-Impressionism:18}, {Impressionism:2}","Expressionism:1917-1956,Post-Impressionism:1916-1935,Impressionism:1918-1918","iconographer,painter",,,"The Generation of the Thirties,Art (Τέχνη)","Artists2/Spyros Papaloukas/Boat 1948.jpg,Artists2/Spyros Papaloukas/Cafr 1929.jpg,",,,,,No,
Theophrastos Triantafyllidis,Greek,Greece,male,"Expressionism, Impressionism, Post-Impressionism",Impressionism,"{Impressionism,Post-Impressionism,Expressionism:38}",İzmir,Athens,1881.0,1955.0,1919.0,1952.0,38.0,,[],"{Expressionism:3},{Impressionism:23},{Post-Impressionism:12}","{Impressionism:23}, {Post-Impressionism:12}, {Expressionism:3}","Impressionism:1919-1952,Expressionism:1935-1940",painter,"Greece, Athens","{Athens:6},{Greece:6}","Generation of the Thirties,Art (Τέχνη)",,,,,,No,
Tia Peltz,"Jewish,Romanian",Romania,female,"Expressionism, Unknown",Expressionism,{Expressionism:36},Bucharest,Bucharest,1923.0,1999.0,1958.0,1999.0,36.0,,[],"{Expressionism:35},{Unknown:1}",{Expressionism:35},Expressionism:1958-1999,painter,,,,,,,,,,
Tivadar Kosztka Csontvary,Hungarian,Hungary,male,"Expressionism, Post-Impressionism, Symbolism, Unknown",Post-Impressionism,"{Post-Impressionism,Expressionism:44}",Sabinov,Budapest,1853.0,1919.0,1893.0,1909.0,44.0,,[],"{Expressionism:8},{Post-Impressionism:21},{Symbolism:14},{Unknown:1}","{Expressionism:23}, {Symbolism:15}, {Post-Impressionism:21}","Expressionism:1901-1908,Symbolism:1902-1907,Post-Impressionism:1893-1909","journalist,painter","Hungary, Budapest","{Budapest:1},{Hungary:1}",,,,,,,No,
Tsuguharu Foujita,"French,Japanese",France,male,"Expressionism, Japonism, Magic Realism, Unknown",Expressionism,"{Expressionism,Magic Realism:161}",Shinogawamachi,Zurich,1886.0,1968.0,1917.0,1965.0,161.0,,[],"{Expressionism:30},{Japonism:1},{Magic Realism:128},{Unknown:2}","{Expressionism:31}, {Magic Realism:128}, {Japonism:1}","Expressionism:1917-1955,Magic Realism:1917-1965,Japonism:1927-1927","drawer,printmaker,painter,illustrator",,,École de Paris,,,,,"Amedeo Modigliani,",No,
Varlin,"Jewish,Swiss",Switzerland,male,Expressionism,Expressionism,{Expressionism:37},Zurich,Bondo,1900.0,1977.0,1936.0,1968.0,37.0,,[],{Expressionism:37},{Expressionism:37},Expressionism:1936-1968,"caricaturist,painter,photographer",,,École de Paris,,,,,,No,
Vasile Kazar,"Jewish,Romanian",Romania,male,Expressionism,Expressionism,{Expressionism:38},,,1913.0,1998.0,1968.0,1987.0,38.0,,[],{Expressionism:38},{Expressionism:38},Expressionism:1968-1987,"drawer,graphic artist,illustrator",,,,,,,,,,
Vela Zanetti,"Spanish,Dominican",Spain,male,"Expressionism, Muralism",Muralism,{Muralism:27},Milagros,Burgos,1913.0,1999.0,1939.0,1992.0,28.0,,[],"{Expressionism:3},{Muralism:25}","{Muralism:24}, {Expressionism:3}","Muralism:1939-1992,Expressionism:1975-1981",painter,,,,,,,,,,
Vilho Lampi,Finnish,Finland,male,Expressionism,Expressionism,{Expressionism:15},Oulu,Rautasilta,1898.0,1936.0,1924.0,1934.0,20.0,,[],{Expressionism:20},{Expressionism:15},Expressionism:1924-1934,painter,,,,,,,,,No,
Viorel Marginean,Romanian,,,"Expressionism, Naïve Art (Primitivism), Neo-Figurative Art, Post-Impressionism",Contemporary,{Contemporary:46},,,,,1968.0,2009.0,46.0,,,"{Expressionism:28},{Naïve Art (Primitivism):15},{Neo-Figurative Art:1},{Post-Impressionism:2}","{Expressionism:41}, {Naïve Art (Primitivism):16}, {Post-Impressionism:2}","Expressionism:1968-2009,Naïve Art (Primitivism):1977-2009",,,,,,,,,,Yes,
Vlady,,Russia,male,"Expressionism, Muralism, Surrealism",Expressionism,,Saint Petersburg,Cuernavaca,1920.0,2005.0,,,19.0,,[],"{Expressionism:9},{Muralism:1},{Surrealism:9}",,,painter,,,,,,,,,,
Vytautas Kasiulis,Lithuanian,Lithuania,male,Expressionism,Expressionism,{Expressionism:9},Simnas,Paris,1918.0,1995.0,1941.0,1980.0,9.0,,[],{Expressionism:9},{Expressionism:9},Expressionism:1950-1980,"painter,teacher","Lithuania, Vilnius","{Vilnius:6},{Lithuania:6}",,,,,,,,
Walter Gramatté,,Germany,male,Expressionism,Expressionism,,Berlin,Hamburg,1897.0,1929.0,,,68.0,,[],{Expressionism:68},,,"lithographer,printmaker,graphic artist,painter",,,,,,,,,,
Will Barnet,,United States,male,"Expressionism, Indian Space painting, Pop Art, Social Realism",Abstract Expressionism,,Beverly,New York City,1911.0,2012.0,,,181.0,Ethiopia,[],"{Expressionism:8},{Indian Space painting:53},{Pop Art:103},{Social Realism:17}",,,"printmaker,painter",,,,,,,,,,
Wolf Kahn,"American,German",United States,male,"Expressionism, Figurative Expressionism",Expressionism,"{Expressionism,Abstract Expressionism:21}",Stuttgart,,1927.0,2020.0,1960.0,2011.0,21.0,New York City,['New York City:1941-1941'],"{Expressionism:1},{Figurative Expressionism:20}","{Figurative Expressionism:20}, {Color Field Painting:5}, {Expressionism:1}","Figurative Expressionism:1976-2011,Color Field Painting:1960-2009,Expressionism:1960-1960","drawer,painter,photographer",,,,,,,,"Allan Kaprow,",Yes,
Xu Beihong,Chinese,Qing dynasty,male,"Expressionism, Ink and wash painting, Post-Impressionism, Realism, Romanticism, Unknown",Republic of China (1912–1949),{Republic of China (1912–1949):97},Yixing,Beijing,1895.0,1953.0,1917.0,1953.0,97.0,,[],"{Expressionism:5},{Ink and wash painting:61},{Post-Impressionism:15},{Realism:10},{Romanticism:5},{Unknown:1}","{Post-Impressionism:15}, {Realism:11}, {Romanticism:5}, {Expressionism:45}, {Ink and wash painting:61}","Post-Impressionism:1931-1948,Realism:1939-1941,Romanticism:1918-1924,Expressionism:1930-1950,Ink and wash painting:1928-1950","painter,teacher",,,,,,,,,No,
Xul Solar,Argentinean,Argentina,male,"Expressionism, Surrealism, Unknown",Surrealism,{Surrealism:61},San Fernando,Tigre,1887.0,1963.0,1915.0,1961.0,61.0,"Zoagli,Stuttgart,Munich,Paris,Milan,Buenos Aires,London,Florence,Turin,Kelheim",[],"{Expressionism:15},{Surrealism:37},{Unknown:9}","{Surrealism:37}, {Expressionism:17}","Surrealism:1920-1961,Expressionism:1915-1922","sculptor,painter,astrologer,writer",,,,,,,,,No,
Ernst Fuchs,Austrian,Austria,male,"Fantastic Realism, Unknown",Surrealism,{Surrealism:67},Vienna,Vienna,1930.0,2015.0,1945.0,1996.0,67.0,,[],"{Fantastic Realism:66},{Unknown:1}",{Fantastic Realism:66},Fantastic Realism:1945-1996,university teacher,,,Vienna School of Fantastic Realism,,,,,,,
H.R. Giger,,,,Fantastic Realism,Surrealism,{Contemporary art:1},,,,,1991.0,1991.0,13.0,,,{Fantastic Realism:13},,,,,,,,,,,,,
Jahar Dasgupta,Indian,Dominion of India,male,"Fantastic Realism, Unknown",Contemporary,{Contemporary:26},Jamshedpur,,1942.0,,2002.0,2008.0,26.0,,[],"{Fantastic Realism:21},{Unknown:5}",{Fantastic Realism:21},Fantastic Realism:2002-2008,painter,,,,,,,,,Yes,
Paul Wunderlich,German,Germany,male,"Fantastic Realism, Surrealism",Surrealism,{Surrealism:40},Eberswalde,Carpentras,1927.0,2010.0,1959.0,2008.0,40.0,Hamburg,[],"{Fantastic Realism:22},{Surrealism:18}","{Fantastic Realism:29}, {Surrealism:18}","Fantastic Realism:1959-2004,Surrealism:1965-2008","lithographer,drawer,printmaker,visual artist,graphic artist,university teacher,sculptor,painter,illustrator",,,,,,,,,Yes,
Sorin Dumitrescu,Romanian,Romania,male,"Fantastic Realism, Surrealism",Neo-Orthodoxism,{Neo-Orthodoxism:30},Bucharest,Bucharest,1946.0,2024.0,1975.0,1982.0,30.0,,[],"{Fantastic Realism:10},{Surrealism:20}","{Surrealism:20}, {Fantastic Realism:26}","Surrealism:1978-1982,Fantastic Realism:1975-1982",,,,,,,,,,,
Wojciech Siudmak,Polish,France,male,Fantastic Realism,Surrealism,{Surrealism:162},Wieluń,,1942.0,,,,162.0,France,[],{Fantastic Realism:162},{Fantastic Realism:162},,painter,,,,,,,,,,
Brian Froud,British,United Kingdom,male,Fantasy Art,Fantasy Art,{Fantasy Art:12},Winchester,,1947.0,,,,12.0,,[],{Fantasy Art:12},{Fantasy Art:12},,"film actor,costume designer,painter,illustrator,voice actor,actor",,,,"Artists2/Brian Froud/Dreamweaver.jpg,Artists2/Brian Froud/Hestia 1998.jpg,",,,,,,
Albert Marquet,French,France,male,"Fauvism, Post-Impressionism, Unknown",Post-Impressionism,{Post-Impressionism:45},Bordeaux,Paris,1875.0,1947.0,1893.0,1943.0,47.0,,[],"{Fauvism:6},{Post-Impressionism:40},{Unknown:1}","{Post-Impressionism:40}, {Fauvism:5}, {Divisionism:2}","Post-Impressionism:1893-1943,Fauvism:1898-1905,Divisionism:1898-1898","drawer,visual artist,painter,artist",,,Les Fauves,,,,,,No,
Armand Guillaumin,French,Kingdom of the Netherlands,male,"Fauvism, Impressionism",Impressionism,{Impressionism:59},Amsterdam,Potsdam,1929.0,2018.0,1867.0,1917.0,59.0,"Amsterdam,'s-Hertogenbosch","[""'s-Hertogenbosch:1992-1992""]","{Fauvism:7},{Impressionism:52}","{Impressionist:1}, {Impressionism:52}, {Fauvism:7}","Impressionist:1895-1895,Impressionism:1867-1915,Fauvism:1894-1917","drawer,painter","Belgium, Germany, Munich, Paris, France","{Belgium:1},{France:2},{Munich:1},{Germany:1},{Paris:1}",,"mountains,Auvergne,winter,countryside,folk-architecture,Auvergne,folk-architecture,mountains,Auvergne,Auvergne,","Musée Daubigny, Auvers-sur-Oise, France,",,,"Artists2/Armand Guillaumin/Saint Sauves D Auvergne 1900.jpg,Artists2/Armand Guillaumin/Winter In Saint Sauves Auvergne 1900.jpg,Artists2/Armand Guillaumin/Cottages In A Landscape.jpg,Artists2/Armand Guillaumin/Landscape Near Saint Julien Des Chazes 1895.jpg,",No,
Carlos Nadal,"Spanish,French",France,male,Fauvism,Post-Impressionism,{Post-Impressionism:10},Paris,,1917.0,1998.0,1950.0,1984.0,10.0,,[],{Fauvism:10},{Fauvism:10},Fauvism:1950-1984,"visual artist,painter",,,,"Henri Matisse,Raoul Dufy,Maurice Utrillo,Georges Braque,",,,,,,
Emilio Grau Sala,Spanish,Spain,male,Fauvism,Post-Impressionism,{Post-Impressionism:18},Barcelona,Barcelona,1911.0,1975.0,1937.0,1965.0,18.0,Paris,['Paris:1932-1932'],{Fauvism:18},{Fauvism:18},Fauvism:1937-1965,"painter,illustrator",,,,,,,,,No,
Frances Hodgkins,,New Zealand,female,"Fauvism, Post-Impressionism",Post-Impressionism,,Dunedin,Dorchester,1869.0,1947.0,,,17.0,"Manchester,Wellington,St Ives,London,Paris,Corfe Castle",[],"{Fauvism:1},{Post-Impressionism:16}",,,"designer,painter,artist",,,,,,,,,,
Guan Zilan,Chinese,,female,"Fauvism, Impressionism, Post-Impressionism",Post-Impressionism,"{Post-Impressionism,New Culture Movement (1915-1926):12}",Shanghai,,1903.0,1986.0,1928.0,1965.0,12.0,,[],"{Fauvism:2},{Impressionism:1},{Post-Impressionism:9}","{Impressionism:1}, {Fauvism:2}, {Post-Impressionism:9}",Post-Impressionism:1928-1965,painter,,,,"Henri Matisse,Maurice de Vlaminck,Les Fauves,",,,,,No,
Ilya Mashkov,Russian,Russian Empire,male,"Fauvism, Impressionism, Post-Impressionism, Realism, Socialist Realism, Unknown",Post-Impressionism,"{Post-Impressionism:220},{Fauvism:1}",Mikhaylovskaya,Moscow,1881.0,1944.0,1900.0,1943.0,219.0,"Moscow,Saint Petersburg,Mikhaylovskaya",[],"{Fauvism:56},{Impressionism:37},{Post-Impressionism:79},{Realism:39},{Socialist Realism:6},{Unknown:2}","{Impressionism:37}, {Post-Impressionism:79}, {Realism:39}, {Fauvism:56}, {Socialist Realism:6}","Impressionism:1903-1933,Post-Impressionism:1908-1942,Realism:1900-1943,Fauvism:1908-1920,Socialist Realism:1927-1936","painter,illustrator,teacher","Armenia, Russia, Yerevan, Moscow","{Moscow:7},{Russia:7},{Yerevan:1},{Armenia:1}",Jack of Diamonds,,,"Vasyl Yermylov,Robert Falk,",,,No,
John Duncan Fergusson,British,United Kingdom,male,Fauvism,Post-Impressionism,{Post-Impressionism:19},Leith,Glasgow,1874.0,1961.0,1907.0,1951.0,19.0,,[],{Fauvism:19},{Fauvism:19},Fauvism:1907-1951,"visual artist,sculptor,painter",,,Scottish Colourists,,,,,,No,
Louis Valtat,French,France,male,Fauvism,Post-Impressionism,{Post-Impressionism:26},Dieppe,Paris,1869.0,1952.0,1896.0,1917.0,26.0,Amsterdam,['Amsterdam:1934-1938'],{Fauvism:26},{Fauvism:26},Fauvism:1896-1917,"drawer,painter,engraver","Saint Petersburg, Russia","{Saint Petersburg:6},{Russia:6}",Les Fauves,,,,,,No,
Othon Friesz,French,France,male,"Fauvism, Impressionism, Post-Impressionism, Unknown",Post-Impressionism,{Post-Impressionism:22},Le Havre,Paris,1879.0,1949.0,1896.0,1910.0,22.0,,[],"{Fauvism:11},{Impressionism:6},{Post-Impressionism:4},{Unknown:1}","{Fauvism:11}, {Post-Impressionism:4}, {Impressionism:6}","Fauvism:1901-1909,Post-Impressionism:1901-1908,Impressionism:1896-1902","printmaker,painter,teacher",,,Les Fauves,,,,,,No,
Rik Wouters,Belgian,Belgium,male,"Fauvism, Post-Impressionism",Post-Impressionism,{Post-Impressionism:25},Mechelen,Amsterdam,1882.0,1916.0,1908.0,1915.0,25.0,,[],"{Fauvism:23},{Post-Impressionism:2}",{Fauvism:25},Fauvism:1908-1915,"graphic artist,sculptor,painter",Belgium,{Belgium:1},,,,,,,No,
Ana Mendieta,,Cuba,female,"Feminist Art, Performance Art",Performance Art,{Contemporary art:1},Havana,New York City,1948.0,1985.0,1974.0,1980.0,15.0,New York City,[],"{Feminist Art:13},{Performance Art:2}",,,"land artist,video artist,performance artist,visual artist,film director,athlete,sculptor,painter,artist,photographer","London, United Kingdom","{London:1},{United Kingdom:1}",,,,,,,,
Cindy Sherman,American,United States,female,"Feminist Art, Unknown",Feminist Art,"{Feminist Art,Conceptual Art:123}",Glen Ridge,,1954.0,,1975.0,2010.0,131.0,"Paris,United States",['Paris:2015-2015'],"{Feminist Art:130},{Unknown:1}",{Feminist Art:123},Feminist Art:1975-2010,"women's rights activist,director,film director,artist,photographer",,,Pictures Generation,,,,,,Yes,
Faith Ringgold,,United States,female,"Feminist Art, Neo-Pop Art, P&D (Pattern and Decoration), Postcolonial art",Harlem Renaissance (New Negro Movement),,Harlem,Englewood,1930.0,2024.0,1991.0,1991.0,20.0,"Nigeria,San Diego,New York City,Ghana",[],"{Feminist Art:4},{Neo-Pop Art:1},{P&D (Pattern and Decoration):1},{Postcolonial art:14}",,,"quiltmaker,performance artist,textile artist,visual artist,sculptor,painter,illustrator,writer",,,,,,,,,,
Kara Walker,,United States,female,Feminist Art,Feminist Art,,Stockton,,1969.0,,1997.0,2017.0,12.0,"New York City,Providence",['New York City:2007-2007'],{Feminist Art:12},,,"video artist,installation artist,architectural draftsperson,printmaker,performance artist,visual artist,graphic artist,filmmaker,sculptor,painter,illustrator,artist,photographer",,,,,,,,,Yes,
Kiki Smith,"American,German",Germany,female,"Feminist Art, Unknown",Feminist Art,{Feminist Art:46},Nuremberg,,1954.0,,1987.0,2012.0,46.0,New York City,[],"{Feminist Art:42},{Unknown:4}",{Feminist Art:42},Feminist Art:1987-2012,"architectural draftsperson,printmaker,performance artist,visual artist,film director,graphic artist,sculptor,cartoonist,painter,illustrator,artist,photographer","NY, New York City, US","{New York City:2},{NY:2},{US:2}",,,,,,,Yes,
Linder,British,United Kingdom,male,Feminist Art,Feminist Art,"{Feminist Art,Conceptual Art:14}",Klagenfurt am Wörthersee,,1736.0,1802.0,1976.0,2012.0,14.0,,[],{Feminist Art:14},{Feminist Art:14},Feminist Art:1976-2012,"painter,drawer,printmaker,engraver","Tate Britain, UK, London","{Tate Britain:5},{London:5},{UK:5}",,,,,,,Yes,
May Wilson,American,United States,female,"Feminist Art, Mail Art, Neo-Dada, Pop Art",Feminist Art,"{Feminist Art,Mail Art,Pop Art:24}",Baltimore,,1905.0,1986.0,1965.0,1972.0,24.0,,[],"{Feminist Art:10},{Mail Art:5},{Neo-Dada:3},{Pop Art:6}","{Feminist Art:15}, {Neo-Dada:6}, {Pop Art:6}, {Mail Art:5}","Feminist Art:1965-1972,Neo-Dada:1968-1972,Pop Art:1971-1972,Mail Art:1965-1967",artist,,,,,,,,,No,
Nalini Malani,,Dominion of India,female,"Feminist Art, Neo-Expressionism, Op Art, Postcolonial art",Feminist Art,,Karachi,,1946.0,,1976.0,2014.0,15.0,Bombay State,[],"{Feminist Art:2},{Neo-Expressionism:2},{Op Art:1},{Postcolonial art:10}",,,"video artist,printmaker,painter,artist","Sydney, India, Australia","{India:37},{Sydney:1},{Australia:1}",,,,,,,Yes,
Senga Nengudi,,United States,female,"Feminist Art, Performance Art, Post-Minimalism, Postcolonial art",Performance Art,,Chicago,,1943.0,,,,12.0,,[],"{Feminist Art:6},{Performance Art:1},{Post-Minimalism:4},{Postcolonial art:1}",,,"performance artist,sculptor,curator",,,,,,,,,,
Shirin Neshat,,Iran,female,Feminist Art,Feminist Art,,Qazvin,,1957.0,,2000.0,2000.0,16.0,"Los Angeles,New York City,Morocco,Berkeley",[],{Feminist Art:16},,,"video installation artist,opera director,video artist,documentarian,visual artist,film director,filmmaker,painter,photographer,screenwriter",,,,,,,,,Yes,
Wangechi Mutu,,Kenya,female,Feminist Art,Feminist Art,,Nairobi,,1972.0,,,,10.0,"New Haven,Brooklyn",['Brooklyn:2007-2007'],{Feminist Art:10},,,"collagist,installation artist,drawer,visual artist,sculptor,painter",,,,,,,,,,
Carles Delclaux Is,Catalan,Spain,male,"Fiber art, Unknown",Fiber Art,"{Contemporary,Fiber Art:17}",Sant Cugat del Vallès,,1951.0,,1988.0,2010.0,17.0,,[],"{Fiber art:16},{Unknown:1}",{Fiber art:17},Fiber art:1988-2010,"artist,weaver",,,Catalan School of Tapestry,"210 x 300 cm,",,"TEXTIL 2006-2011,",,,Yes,
Michael Hafftka,American,United States,male,Figurative Expressionism,Expressionism,"{Expressionism,Neo-Expressionism:11}",New York City,,1953.0,,2016.0,2016.0,11.0,,[],{Figurative Expressionism:11},{Figurative Expressionism:11},Figurative Expressionism:2016-2016,"printmaker,painter",,,,,,,,,Yes,
Nabil Kanso,American,United States,male,"Figurative Expressionism, Neo-Expressionism",Neo-Expressionism,{Neo-Expressionism:9},Beirut,Atlanta,1946.0,2019.0,1988.0,1988.0,9.0,,[],"{Figurative Expressionism:1},{Neo-Expressionism:8}","{Neo-Expressionism:9}, {Figurative Expressionism:4}",Neo-Expressionism:1988-1988,painter,,,,"Othello,Desdemona,William-Shakespeare-""Othello"",Johann-Wolfgang-von-Goethe-""Faust"",Faust,Mephistopheles,Marguerite,Place des Martyres,Evening - Place des Martyres,",,,,"Artists2/Nabil Kanso/Othello Desdemona 1985.jpg,Artists2/Nabil Kanso/Encounter 1976.jpg,",,
Sliman Mansour,,State of Palestine,male,Figurative Expressionism,Contemporary,,Birzeit,,1947.0,,1980.0,1980.0,17.0,,[],{Figurative Expressionism:17},,,"painter,writer",Palestine,{Palestine:1},,,,,,,,
Joseph Stella,"Italian,American",Kingdom of Italy,male,"Futurism, Precisionism, Unknown",Futurism,"{American modernism:3},{Modern art:5},{Abstract art:1},{Futurism:2},{Futurism,Precisionism:35}",Muro Lucano,New York City,1877.0,1946.0,1913.0,1939.0,35.0,New York City,[],"{Futurism:19},{Precisionism:15},{Unknown:1}","{Futurism:19}, {Precisionism:15}","Futurism:1913-1939,Precisionism:1924-1931","collagist,drawer,architectural draftsperson,painter","NY, New York City, US","{New York City:2},{NY:1},{US:1}",Stieglitz group,,,,,,No,
Victor Palmov,"Russian,Ukrainian",Russian Empire,male,"Futurism, Naïve Art (Primitivism), Socialist Realism",Avant-garde,"{Futurism,Naïve Art (Primitivism):21}",Samara,Kyiv,1888.0,1929.0,1910.0,1929.0,21.0,,[],"{Futurism:5},{Naïve Art (Primitivism):15},{Socialist Realism:1}","{Naïve Art (Primitivism):15}, {Futurism:7}, {Socialist Realism:1}","Naïve Art (Primitivism):1920-1929,Futurism:1910-1928,Socialist Realism:1927-1927",painter,,,"LEF (Left Front of the Arts),ARMU (Association of Revolutionary Masters of Ukraine)","Paul Gauguin,",,,,"David Burliuk,Oleksandr Bogomazov,Vladimir Tatlin,Alexander Khvostenko-Khvostov,Vasyl Yermylov,Mykhailo Boychuk,Vadym Meller,Anatol Petrytsky,",No,
Emperor Huizong,Chinese,Song dynasty,male,Gongbi,Northern Song Dynasty (960–1126),{Northern Song Dynasty (960–1126):14},Kaifeng,Yilan County,1082.0,1135.0,1100.0,1119.0,10.0,Kaifeng,[],{Gongbi:10},{Gongbi:14},Gongbi:1100-1119,"calligrapher,ruler,painter,musician,poet",,,,,,,,,No,
Qiu Ying,Chinese,Ming dynasty,male,Gongbi,Ming Dynasty (1368–1644),{Ming Dynasty (1368–1644):25},Taicang,Suzhou,1494.0,1552.0,1530.0,1552.0,25.0,,[],{Gongbi:25},"{Blue-and-green style:1}, {Gongbi:25}",Gongbi:1530-1543,painter,"Taiwan, Taipei","{Taipei:1},{Taiwan:1}",,,,,,,No,
Bartolome Bermejo,Spanish,Crown of Aragon,male,"Gothic, Unknown",Gothic Art,{Gothic Art:13},Córdoba,Barcelona,1440.0,1500.0,1462.0,1490.0,13.0,Barcelona,[],"{Gothic:12},{Unknown:1}",{Gothic:13},Gothic:1462-1490,"visual artist,painter","Spain, UK, London, Barcelona","{Barcelona:1},{Spain:1},{London:1},{UK:1}",,,,,,,No,
Limbourg brothers,,,,"Gothic, International Gothic",Gothic Art,{Gothic art:1},,,,,,,150.0,,,"{Gothic:1},{International Gothic:149}",,,,,,,,,,,,,
