artist,Nationality,citizenship,gender,styles,movement,Art500k_Movements,birth_place,death_place,birth_year,death_year,FirstYear,LastYear,wikiart_pictures_count,locations,locations_with_years,styles_extended,StylesCount,StylesYears,occupations,PaintingsExhibitedAt,PaintingsExhibitedAtCount,PaintingSchool,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,Contemporary,Type
Frida Kahlo,Mexican,Mexico,female,"Naïve Art (Primitivism), Surrealism, Unknown",Magic Realism,"{Naïve Art (Primitivism),Surrealism:99}",Coyoacán,Coyoacán,1907.0,1954.0,1922.0,1954.0,100.0,"San Francisco,Detroit,New York City,Mexico City",[],"{Naïve Art (Primitivism):83},{Surrealism:15},{Unknown:2}","{Naïve Art (Primitivism):99}, {Surrealism:15}","Naïve Art (Primitivism):1922-1954,Surrealism:1929-1954",painter,"CA, LA, New York, US, New Orleans, Washington DC, Mexico City, IA, Los Angeles, Nagoya, San Francisco, Paris, Buffalo, Mexico, Des Moines, Argentina, Houston, Austin, Los Angeles County Museum of Art, France, NY, Japan, Des Moines Art Center, MFAH, New York City","{Mexico:50},{San Francisco:6},{New York:4},{Mexico City:44},{Los Angeles County Museum of Art:1},{Los Angeles:2},{CA:4},{US:17},{Des Moines Art Center:1},{Des Moines:1},{IA:1},{Paris:4},{France:4},{MFAH:1},{Houston:1},{Argentina:1},{New York City:6},{NY:7},{New Orleans:1},{LA:1},{Austin:1},{Buffalo:1},{Nagoya:1},{Japan:1},{Washington DC:1}",,"Amedeo Modigliani,Diego Rivera,Jose Clemente Orozco,David Alfaro Siqueiros,Surrealism,","Judy Chicago,Georgia O'Keeffe,Feminist Art,",,,,No,
George Caleb Bingham,American,United States,male,"Naïve Art (Primitivism), Romanticism, Unknown",Romanticism,"{Luminism:1},{American Realism:1},{Realism:1},{Romanticism:49}",Augusta County,Kansas City,1811.0,1879.0,1834.0,1876.0,50.0,"Düsseldorf,Washington, D.C.,Philadelphia,Boonville,New York City",[],"{Naïve Art (Primitivism):45},{Romanticism:3},{Unknown:2}","{Romanticism:42}, {Naïve Art (Primitivism):46}","Romanticism:1837-1876,Naïve Art (Primitivism):1834-1876","architectural draftsperson,graphic artist,university teacher,painter,politician","CA, Cincinnati, Missouri, MO, US, St. Louis, Washington DC, New York City, Los Angeles, MA, San Francisco, Norfolk, Hartford, Detroit, MI, San Marino, USA, Boston, VA, Los Angeles County Museum of Art, NY, Fort Worth, OH, United States, Kansas City","{Missouri:1},{United States:1},{St. Louis:11},{MO:13},{US:28},{Fort Worth:1},{Norfolk:1},{VA:1},{Cincinnati:1},{OH:1},{Los Angeles County Museum of Art:1},{Los Angeles:1},{CA:4},{Hartford:1},{Boston:2},{MA:2},{Kansas City:2},{Detroit:2},{MI:2},{San Marino:1},{New York City:2},{NY:2},{San Francisco:4},{Washington DC:2},{USA:1}",,,,,,,No,
Jean-Michel Basquiat,,United States,male,"Naïve Art (Primitivism), Neo-Dada, Neo-Expressionism, Street art",Neo-Expressionism,"{Neo-expressionism:1},{Primitivism:1},{Contemporary art:1}",Park Slope,New York City,1960.0,1988.0,1982.0,1982.0,157.0,"Manhattan,Brooklyn,Hawaii,Abidjan,Venice,Modena",[],"{Naïve Art (Primitivism):1},{Neo-Dada:4},{Neo-Expressionism:13},{Street art:139}",,,"artivist,installation artist,drawer,graffiti artist,musicologist,architectural draftsperson,visual artist,sculptor,painter,record producer,composer,actor,photographer",,,,,,,,,,
Niko Pirosmani,Georgian,Georgia,male,Naïve Art (Primitivism),Avant-garde,"{Naïve Art (Primitivism),Avant-garde:220}",Mirzaani,Tbilisi,1862.0,1918.0,1900.0,1918.0,220.0,Georgia,[],{Naïve Art (Primitivism):220},{Naïve Art (Primitivism):220},Naïve Art (Primitivism):1900-1918,painter,"Georgia, Moscow, Russia, Sighnaghi, Kutaisi, Mirzaani, Tbilisi","{Tbilisi:105},{Georgia:121},{Mirzaani:10},{Kutaisi:1},{Sighnaghi:5},{Moscow:4},{Russia:4}",,"Mikhail Larionov,","Mikhail Larionov,countryside,bulls,bears,",,"Self-taught,",,No,
Norval Morrisseau,,Canada,male,Naïve Art (Primitivism),Native Art,,Greenstone,Toronto,1932.0,2007.0,1985.0,1985.0,85.0,,[],{Naïve Art (Primitivism):85},,,painter,,,,,,,,,,
Sergei Parajanov,"Armenian,Ukrainian",Soviet Union,male,"Naïve Art (Primitivism), Neo-Dada, Pop Art, Surrealism",Surrealism,"{Pop Art,Surrealism,Naïve Art (Primitivism),Neo-Dada,Soviet Nonconformist Art:25}",Tbilisi,Yerevan,1924.0,1990.0,1967.0,1989.0,25.0,,[],"{Naïve Art (Primitivism):6},{Neo-Dada:8},{Pop Art:6},{Surrealism:5}","{Pop Art:18}, {Neo-Dada:8}, {Naïve Art (Primitivism):6}, {Surrealism:5}","Pop Art:1967-1989,Neo-Dada:1981-1988,Naïve Art (Primitivism):1967-1987,Surrealism:1967-1987","film screenwriter,film editor,visual artist,film director,painter,screenwriter",,,,,,,,,,
Vangel Naumovski,Macedonian,North Macedonia,male,"Naïve Art (Primitivism), Surrealism",Surrealism,"{Naïve Art (Primitivism),Surrealism:22}",Ohrid,,1924.0,2006.0,1956.0,1987.0,22.0,,[],"{Naïve Art (Primitivism):1},{Surrealism:21}","{Surrealism:21}, {Naïve Art (Primitivism):1}","Surrealism:1963-1987,Naïve Art (Primitivism):1956-1956",painter,,,,,,,,,,
Amilcar de Castro,,Brazil,male,Neo-Concretism,Neo-Concretism,,Paraisópolis,Belo Horizonte,1920.0,2002.0,,,14.0,,[],{Neo-Concretism:14},,,"sculptor,painter,graphic designer",,,,,,,,,,
Alison Knowles,American,United States,female,Neo-Dada,Neo-Dada,{Neo-Dada:10},New York City,,1933.0,,1960.0,1995.0,10.0,Amsterdam,['Amsterdam:1962-1962'],{Neo-Dada:10},{Neo-Dada:10},Neo-Dada:1960-1995,"electronic literature writer,sound artist,drawer,performance artist,visual artist,artist,rower",,,Fluxus,,,,,,,
Claes Oldenburg,"American,Swedish",Sweden,male,"Neo-Dada, Pop Art, Unknown",Pop Art,{Pop Art:23},Malmö,Manhattan,1929.0,2022.0,1959.0,2006.0,24.0,"Rye,Oslo,Chicago,New York City,Chatte,New Haven,Los Angeles",[],"{Neo-Dada:1},{Pop Art:22},{Unknown:1}","{Pop Art:21}, {Neo-Dada:3}","Pop Art:1961-2006,Neo-Dada:1959-1975","drawer,architectural draftsperson,printmaker,performance artist,designer,visual artist,graphic artist,sculptor,painter","London, Venice, UK, New York, United States","{Venice:2},{New York:1},{United States:1},{London:1},{UK:1}",,,,,,,Yes,
