artist,styles,movement,styles_extended,pictures_count,birth_place,birth_year,death_year,death_place,gender,citizenship,occupations,locations,locations_with_years,birth_date,death_date
Lalla Essaydi,Contemporary,Feminist Art,{Contemporary:67},67,Marrakesh,1956.0,,,female,Morocco,"visual artist,painter,photographer","Boston,Marrakesh,New York City,Paris",[],1956.0,
Marina Pallares,"Contemporary, Magic Realism",Magic Realism,"{Contemporary:61},{Magic Realism:1}",62,Guadalajara,1980.0,,,female,Mexico,painter,,[],1980.0,
Nan Goldin,"Contemporary, Feminist Art",Feminist Art,"{Contemporary:17},{Feminist Art:4}",21,"Washington, D.C.",1953.0,,,female,United States,"documentarian,printmaker,multimedia artist,film director,artist,photographer,screenwriter","Luxor,Paris,London,Boston,Berlin,New York City",[],1953.0,
Paula Klien,"Contemporary, Lyrical Abstraction",Abstract Expressionism,"{Contemporary:7},{Lyrical Abstraction:34}",41,Rio de Janeiro,1968.0,,,female,Brazil,photographer,,[],1968.0,
Pavlo Makov,Contemporary,Contemporary,{Contemporary:129},129,Saint Petersburg,1958.0,,,male,,"graphic artist,painter,graphic designer",,[],1958.0,
Rodrigo Franzao,"Contemporary, Fiber art, Unknown",Contemporary,"{Contemporary:54},{Fiber art:1},{Unknown:1}",56,,,,,,,,,,,
Shadi Ghadirian,"Contemporary, Feminist Art",Feminist Art,"{Contemporary:2},{Feminist Art:15}",17,Tehran,1974.0,,,female,Iran,photographer,,[],1974.0,
Yinka Shonibare,"Contemporary, Postcolonial art",Postcolonial art,"{Contemporary:34},{Postcolonial art:74}",108,London,1962.0,,,male,Nigeria,"video installation artist,video artist,sculptor,painter,artist,photographer",,[],1962.0,
Agim Sulaj,"Contemporary Realism, Hyper-Realism, Photorealism, Surrealism",Surrealism,"{Contemporary Realism:33},{Hyper-Realism:6},{Photorealism:1},{Surrealism:6}",46,Albania,1960.0,,,male,Albania,painter,,[],1960.0,
Alberto Sughi,"Contemporary Realism, Expressionism, Neo-Expressionism, Realism, Surrealism, Unknown",Expressionism,"{Contemporary Realism:4},{Expressionism:11},{Neo-Expressionism:3},{Realism:2},{Surrealism:1},{Unknown:1}",22,Cesena,1928.0,2012.0,Bologna,male,Kingdom of Italy,"painter,politician",,[],1928.0,2012.0
Alejandro Cabeza,"Contemporary Realism, Impressionism, Realism, Unknown",Contemporary Realism,"{Contemporary Realism:29},{Impressionism:12},{Realism:3},{Unknown:6}",50,Esmeraldas,1999.0,,,male,Ecuador,"association football player,painter",,[],1999.0,
Alex Colville,"Contemporary Realism, Expressionism, Magic Realism, Precisionism, Regionalism",Precisionism,"{Contemporary Realism:51},{Expressionism:2},{Magic Realism:14},{Precisionism:3},{Regionalism:6}",76,Toronto,1920.0,2013.0,Wolfville,male,Canada,"drawer,printmaker,painter",,[],1920.0,2013.0
Andrew Wyeth,"Contemporary Realism, Regionalism, Unknown",Regionalism,"{Contemporary Realism:116},{Regionalism:16},{Unknown:3}",135,Chadds Ford Township,1917.0,2009.0,Chadds Ford Township,male,United States,"painter,writer","Maine,Chadds Ford Township,Pennsylvania,Port Clyde",[],1917.0,2009.0
Antonio Lopez Garcia,"Contemporary Realism, Hyper-Realism, Magic Realism, Realism, Surrealism",Magic Realism,"{Contemporary Realism:3},{Hyper-Realism:5},{Magic Realism:2},{Realism:1},{Surrealism:1}",12,Tomelloso,1936.0,,,male,Spain,"drawer,medalist,university teacher,sculptor,painter",,[],1936.0,
Aydin Aghdashloo,"Contemporary Realism, Neo-Expressionism, Neo-Pop Art, Surrealism, Unknown",Neo-Expressionism,"{Contemporary Realism:7},{Neo-Expressionism:7},{Neo-Pop Art:5},{Surrealism:1},{Unknown:19}",39,Rasht,1940.0,,,male,Iran,"painter,graphic designer,writer",,[],1940.0,
Charly Palmer,Contemporary Realism,Contemporary Realism,{Contemporary Realism:13},13,,1879.0,1960.0,,,,,,,,
Consuelo Hernández,"Contemporary Realism, Magic Realism, Realism",Magic Realism,"{Contemporary Realism:8},{Magic Realism:1},{Realism:11}",20,Colombia,1952.0,,,female,Colombia,"poet,writer,painter",,[],1952.0,
Craig Mullins,"Contemporary Realism, Realism",Contemporary Realism,"{Contemporary Realism:8},{Realism:26}",34,California,1964.0,,,male,United States,"painter,illustrator",,[],1964.0,
D. Jeffrey Mims,Contemporary Realism,Classical Realism,{Contemporary Realism:10},10,,1954.0,,,,,,,,,
Dana Levin,"Contemporary Realism, Neo-baroque",Classical Realism,"{Contemporary Realism:7},{Neo-baroque:3}",10,United States,1969.0,,,female,United States,"painter,poet,writer",,[],1965.0,
Devin Leonardi,"Contemporary Realism, Impressionism",Contemporary Realism,"{Contemporary Realism:15},{Impressionism:1}",16,,1917.0,2004.0,,,,,,[],,
Donald Sultan,"Contemporary Realism, Neo-Expressionism",New Image Painting,"{Contemporary Realism:2},{Neo-Expressionism:13}",15,Asheville,1951.0,,,male,United States,"printmaker,painter,illustrator,artist",,[],1951.0,
Eduardo Berliner,"Contemporary Realism, Neo-Expressionism",Neo-Expressionism,"{Contemporary Realism:4},{Neo-Expressionism:2}",6,Rio de Janeiro,1978.0,,,male,Brazil,"drawer,industrial designer,typographer,painter",,[],1978.0,
Enrique Martínez Celaya,Contemporary Realism,Contemporary Realism,{Contemporary Realism:17},17,Nueva Paz,1964.0,,,male,Cuba,"sculptor,painter,photographer",,[],1964.0,
Eric Fischl,"Contemporary Realism, Neo-Expressionism",Neo-Expressionism,"{Contemporary Realism:74},{Neo-Expressionism:6}",80,New York City,1948.0,,,male,United States,"art educator,drawer,graphic artist,sculptor,painter,illustrator,printer",,[],1948.0,
Erik Sigerud,"Contemporary Realism, Neo-Expressionism, Surrealism",Contemporary,"{Contemporary Realism:4},{Neo-Expressionism:1},{Surrealism:6}",11,Borlänge,1977.0,,,male,Sweden,artist,,[],1977.0,
Erro,"Contemporary Realism, Pop Art, Surrealism",Pop Art,"{Contemporary Realism:1},{Pop Art:33},{Surrealism:3}",37,Ólafsvík,1932.0,,,male,Iceland,"printmaker,performance artist,visual artist,filmmaker,sculptor,painter",France,['France:1959-1959'],1932.0,
Fairfield Porter,Contemporary Realism,Contemporary Realism,{Contemporary Realism:23},23,Winnetka,1907.0,1975.0,Southampton,male,United States,"printmaker,art critic,journalist,painter",,[],1907.0,1975.0
Gazmend Freitag,"Contemporary Realism, Impressionism, Post-Impressionism, Realism",Contemporary Realism,"{Contemporary Realism:191},{Impressionism:37},{Post-Impressionism:3},{Realism:1}",232,Pataçani i Poshtëm,1968.0,,,male,,painter,,[],1968.0,
Georg Miciú,Contemporary Realism,Contemporary Realism,{Contemporary Realism:15},15,,1946.0,,,male,,painter,,[],1946.0,
Gilles Aillaud,Contemporary Realism,Contemporary Realism,{Contemporary Realism:18},18,13th arrondissement of Paris,1928.0,2005.0,14th arrondissement of Paris,male,France,"scenographer,painter,photographer","Italy,Paris",[],1928.0,2005.0
Graydon Parrish,Contemporary Realism,Contemporary Realism,{Contemporary Realism:12},12,,1970.0,,,male,United States,painter,,[],1970.0,
Haroutiun Galentz,"Contemporary Realism, Cubism, Fauvism, Unknown",Cubism,"{Contemporary Realism:1},{Cubism:3},{Fauvism:1},{Unknown:1}",6,Gürün,,1967.0,Yerevan,male,French mandate of Lebanon,painter,,[],1910.0,1967.0
Ian Bent,"Contemporary Realism, Hyper-Realism, Post-Painterly Abstraction",Surrealism,"{Contemporary Realism:3},{Hyper-Realism:3},{Post-Painterly Abstraction:1}",7,,1938.0,,,male,United Kingdom,musicologist,,[],1938.0,
Jacob Collins,Contemporary Realism,Classical Realism,{Contemporary Realism:10},10,New York City,1964.0,,,male,United States,"painter,writer",,[],1964.0,
Jamie Wyeth,Contemporary Realism,Contemporary Realism,{Contemporary Realism:114},114,Wilmington,1946.0,,,male,United States,"drawer,painter",,[],1946.0,
Jane Wilson,Contemporary Realism,Contemporary Realism,{Contemporary Realism:11},11,,1924.0,2015.0,,female,,,,[],,
Janet Fish,Contemporary Realism,Contemporary Realism,{Contemporary Realism:25},25,Boston,1938.0,,,female,United States,"printmaker,painter,artist",,[],1938.0,
Jeffrey Smart,"Contemporary Realism, Hyper-Realism, Metaphysical art, Precisionism, Social Realism, Surrealism",Precisionism,"{Contemporary Realism:73},{Hyper-Realism:53},{Metaphysical art:3},{Precisionism:18},{Social Realism:3},{Surrealism:5}",155,Adelaide,1921.0,2013.0,Montevarchi,male,Australia,painter,,[],1921.0,2013.0
Jesús Meneses del Barco,"Contemporary Realism, Unknown",Contemporary Realism,"{Contemporary Realism:21},{Unknown:3}",24,Spain,1922.0,2004.0,Q2807,male,Spain,painter,,[],1924.0,2004.0
John Currin,"Contemporary Realism, Kitsch",Kitsch,"{Contemporary Realism:5},{Kitsch:11}",16,Boulder,1962.0,,,male,United States,"drawer,painter,artist",New York City,[],1962.0,
John Miller,"Contemporary Realism, Impressionism",Contemporary,"{Contemporary Realism:77},{Impressionism:5}",82,,1880.0,1908.0,,male,,"university teacher,politician",,[],,
John Stuart Ingle,"Contemporary Realism, Photorealism",Contemporary Realism,"{Contemporary Realism:2},{Photorealism:5}",7,Evansville,1933.0,2010.0,Minnetonka,male,United States,painter,,[],1933.0,2010.0
