artist,styles,movement,styles_extended,pictures_count,birth_place,birth_year,death_year,death_place,gender,citizenship,occupations,locations,locations_with_years,birth_date,death_date
Ozdemir Atlan,"Art Informel, Neo-Expressionism, Nouveau Réalisme",Contemporary,"{Art Informel:10},{Neo-Expressionism:2},{Nouveau Réalisme:3}",15,Giresun,1931.0,,,male,,painter,,[],1931.0,
Paolo Scheggi,"Art Informel, Spatialism",Spatialism,"{Art Informel:10},{Spatialism:17}",27,Florence,1940.0,1971.0,Rome,male,Kingdom of Italy,painter,,[],1940.0,1971.0
Paritosh Sen,"Art Informel, Cubism, Expressionism",Modernism,"{Art Informel:2},{Cubism:2},{Expressionism:22}",26,Dhaka,1918.0,2008.0,Kolkata,male,Dominion of India,"painter,writer",,[],1918.0,2008.0
Patrick Heron,"Art Informel, Color Field Painting, Expressionism, Post-Painterly Abstraction",Art Informel,"{Art Informel:5},{Color Field Painting:4},{Expressionism:2},{Post-Painterly Abstraction:18}",29,Headingley,1920.0,1803.0,Zennor,male,United Kingdom of Great Britain and Ireland,"printmaker,painter,artist",,[],1920.0,1999.0
Piero Manzoni,"Art Informel, Conceptual Art, Minimalism, Spatialism",Arte Povera,"{Art Informel:1},{Conceptual Art:5},{Minimalism:4},{Spatialism:12}",22,Soncino,1933.0,1963.0,Milan,male,Kingdom of Italy,"conceptual artist,drawer,visual artist,sculptor,painter,artist,author,photographer","Paris,Milan",[],1933.0,1963.0
Pierre Tal-Coat,"Art Informel, Cubism, Expressionism, Lyrical Abstraction",Art Informel,"{Art Informel:24},{Cubism:3},{Expressionism:5},{Lyrical Abstraction:20}",52,Clohars-Carnoët,1905.0,1985.0,Saint-Pierre-de-Bailleul,male,France,"drawer,printmaker,painter,illustrator",,[],1905.0,1985.0
Rene Duvillier,"Art Informel, Lyrical Abstraction",Art Informel,"{Art Informel:8},{Lyrical Abstraction:33}",41,Oyonnax,1919.0,2002.0,14th arrondissement of Paris,male,France,painter,,[],1919.0,2002.0
Roger Bissière,"Art Informel, Cubism, Lyrical Abstraction, Post-Impressionism",Tachisme,"{Art Informel:25},{Cubism:4},{Lyrical Abstraction:6},{Post-Impressionism:6}",41,Villeréal,1886.0,1964.0,Marminiac,male,France,"drawer,painter,artist,photographer",,[],1886.0,1964.0
Romul Nutiu,"Art Informel, Conceptual Art, Tachisme",Abstract Art,"{Art Informel:8},{Conceptual Art:10},{Tachisme:56}",74,,,,,,,,,,,
Rune Jansson,Art Informel,Art Informel,{Art Informel:19},19,Blidö,1932.0,2018.0,,male,Sweden,"amateur wrestler,actor,painter,writer",,[],1918.0,2014.0
Sadamasa Motonaga,Art Informel,Art Informel,{Art Informel:28},28,Ueno,1922.0,2011.0,Takarazuka,male,Empire of Japan,"printmaker,painter",,[],1922.0,2011.0
Samuel Buri,"Art Informel, Lyrical Abstraction, Neo-Expressionism, Pop Art",Pop Art,"{Art Informel:6},{Lyrical Abstraction:3},{Neo-Expressionism:8},{Pop Art:14}",31,Täuffelen,1935.0,,,male,Switzerland,"painter,artist,council member,merchant",Basel,[],1935.0,
Se-Ok Suh,Art Informel,Korean Informel,{Art Informel:16},16,,,,,,,,,,,
Sergio Mario Illuminato,"Art Informel, Spatialism, Unknown",Art Informel,"{Art Informel:26},{Spatialism:4},{Unknown:1}",31,,,,,,,,,,,
Shozo Shimamoto,"Art Informel, Tachisme",Abstract Art,"{Art Informel:4},{Tachisme:14}",18,,,,,,,,,,,
Simon Hantai,"Art Informel, Surrealism, Tachisme, Unknown",Abstract Art,"{Art Informel:6},{Surrealism:2},{Tachisme:20},{Unknown:1}",29,Bia,1922.0,2008.0,14th arrondissement of Paris,male,France,painter,"Italy,Budapest,France","['Italy:1945-1948', 'France:1949-1949']",1922.0,2008.0
Tano Festa,"Art Informel, Expressionism, Pop Art",Pop Art,"{Art Informel:10},{Expressionism:3},{Pop Art:29}",42,Rome,1938.0,1988.0,Rome,male,Kingdom of Italy,"graphic artist,painter,photographer",,[],1938.0,1988.0
Theo Gerber,"Art Informel, Surrealism",Surrealism,"{Art Informel:5},{Surrealism:19}",24,Thun,1928.0,1997.0,,male,Switzerland,"sculptor,painter","Rome,Paris,Basel,France",[],1928.0,1997.0
Wols,"Art Informel, Lyrical Abstraction, Surrealism, Tachisme, Unknown",Surrealism,"{Art Informel:19},{Lyrical Abstraction:2},{Surrealism:22},{Tachisme:10},{Unknown:1}",54,Berlin,1913.0,1951.0,Champigny-sur-Marne,male,Germany,"painter,illustrator,graphic designer,pornographic actor,artist,photographer","Barcelona,Paris",[],1913.0,1951.0
Zao Wou-Ki,"Art Informel, Lyrical Abstraction",Art Informel,"{Art Informel:20},{Lyrical Abstraction:18}",38,Beijing,1920.0,2013.0,Nyon,male,Republic of China (1912–1949),"lithographer,drawer,postage stamp designer,painter,artist",,[],1920.0,2013.0
A.Y. Jackson,"Art Nouveau (Modern), Post-Impressionism, Symbolism",Art Nouveau,"{Art Nouveau (Modern):18},{Post-Impressionism:9},{Symbolism:4}",31,,1882.0,1974.0,,,,,,,,
Akseli Gallen-Kallela,"Art Nouveau (Modern), Expressionism, Impressionism, Romanticism, Symbolism, Unknown",Romanticism,"{Art Nouveau (Modern):4},{Expressionism:6},{Impressionism:2},{Romanticism:14},{Symbolism:11},{Unknown:4}",41,Pori,1865.0,1931.0,Stockholm,male,Finland,"printmaker,designer,painter,illustrator,architect",,[],1865.0,1931.0
Aladar Korosfoi-Kriesch,"Art Nouveau (Modern), Expressionism, Unknown",Art Nouveau,"{Art Nouveau (Modern):14},{Expressionism:3},{Unknown:1}",18,Buda,1863.0,1920.0,Budakeszi,male,Hungary,"sculptor,painter",Hungary,[],1863.0,1920.0
Albert Lynch,"Art Nouveau (Modern), Kitsch",Art Nouveau,"{Art Nouveau (Modern):17},{Kitsch:6}",23,Gleisweiler,1860.0,1950.0,Monaco,male,France,"painter,illustrator",France,[],1860.0,1950.0
Albin Egger-Lienz,"Art Nouveau (Modern), Expressionism, Realism, Surrealism",Expressionism,"{Art Nouveau (Modern):9},{Expressionism:71},{Realism:24},{Surrealism:1}",105,Stribach,1868.0,1926.0,Bolzano,male,Austria,"university teacher,painter,illustrator",,[],1868.0,1926.0
Alexander Khvostenko-Khvostov,"Art Nouveau (Modern), Constructivism, Expressionism, Post-Impressionism, Socialist Realism",Avant-garde,"{Art Nouveau (Modern):14},{Constructivism:4},{Expressionism:1},{Post-Impressionism:1},{Socialist Realism:1}",21,"Borisovka, Borisovsky District, Belgorod Oblast",1885.0,1968.0,Kyiv,male,Russian Empire,"visual artist,scenographer,graphic artist,pedagogue,painter",,[],1885.0,1968.0
Alexandre Benois,"Art Nouveau (Modern), Post-Impressionism",Art Nouveau,"{Art Nouveau (Modern):57},{Post-Impressionism:20}",77,Saint Petersburg,1870.0,1960.0,Paris,male,Russian Empire,"exlibrist,decorator,drawer,librettist,designer,art critic,director,scenographer,choreographer,art historian,costume designer,painter,writer",Paris,"['Paris:1909-1914,1905-1907,1896-1899,1926-1960']",1870.0,1960.0
Alfred Roller,Art Nouveau (Modern),Art Nouveau,{Art Nouveau (Modern):26},26,Brno,1864.0,1935.0,Vienna,male,Austria,"lithographer,designer,fashion figure artist,scenographer,pedagogue,painter,illustrator,teacher",,[],1864.0,1935.0
Alfred William Finch,"Art Nouveau (Modern), Impressionism, Neo-Impressionism, Pointillism, Post-Impressionism, Realism",Neo-Impressionism,"{Art Nouveau (Modern):6},{Impressionism:2},{Neo-Impressionism:5},{Pointillism:9},{Post-Impressionism:13},{Realism:2}",37,Saint-Josse-ten-Noode,1854.0,1930.0,Helsinki,male,Finland,"printmaker,etcher,ceramicist,painter",,[],1854.0,1930.0
Alphonse Mucha,"Art Nouveau (Modern), Romanticism, Symbolism",Art Nouveau,"{Art Nouveau (Modern):141},{Romanticism:18},{Symbolism:12}",171,Ivančice,1860.0,1939.0,Prague,male,Second Czechoslovak Republic,"lithographer,designer,jewelry designer,interior designer,postage stamp designer,graphic artist,university teacher,painter,poster artist,illustrator,graphic designer,teacher,photographer","Paris,Prague,Munich,Vienna,Mikulov","['Paris:1888-1888', 'Prague:1911-1911']",1860.0,1939.0
Andrei Ryabushkin,"Art Nouveau (Modern), Realism, Romanticism",Romanticism,"{Art Nouveau (Modern):9},{Realism:27},{Romanticism:25}",61,Borisoglebsk Uyezd,1861.0,1904.0,Novgorod Governorate,male,Russian Empire,painter,,[],1861.0,1904.0
Anna Katarina Boberg,"Art Nouveau (Modern), Post-Impressionism, Symbolism",Art Nouveau,"{Art Nouveau (Modern):5},{Post-Impressionism:1},{Symbolism:2}",8,Klara Church Parish,1864.0,1935.0,Sofia church parish,female,Sweden,"scenic designer,scenographer,sculptor,painter",,[],1864.0,1935.0
Anna Ostroumova-Lebedeva,"Art Nouveau (Modern), Post-Impressionism",Art Nouveau,"{Art Nouveau (Modern):81},{Post-Impressionism:14}",95,Saint Petersburg,1871.0,1955.0,Saint Petersburg,female,Russian Empire,"watercolorist,drawer,graphic artist,painter,illustrator,engraver,photographer",,[],1871.0,1955.0
Anne Brigman,"Art Nouveau (Modern), Pictorialism",Impressionism,"{Art Nouveau (Modern):1},{Pictorialism:21}",22,Honolulu,1869.0,1950.0,Eagle Rock,female,United States,"artist,photographer",,[],1869.0,1950.0
Antonio de La Gándara,"Art Nouveau (Modern), Impressionism, Realism",Impressionism,"{Art Nouveau (Modern):10},{Impressionism:5},{Realism:13}",28,9th arrondissement of Paris,1861.0,1917.0,Paris,male,France,"lithographer,designer,cartoonist,painter",,[],1861.0,1917.0
Arthur Lismer,"Art Nouveau (Modern), Expressionism, Ink and wash painting, Realism",Expressionism,"{Art Nouveau (Modern):1},{Expressionism:9},{Ink and wash painting:4},{Realism:3}",17,Sheffield,1885.0,1969.0,Montreal,male,United Kingdom,painter,,[],1885.0,1969.0
Arthur Rackham,"Art Nouveau (Modern), Unknown",Art Nouveau,"{Art Nouveau (Modern):160},{Unknown:1}",161,Lewisham,1867.0,1939.0,Limpsfield,male,United Kingdom,"drawer,painter,illustrator,translator",London,[],1867.0,1939.0
Artuš Scheiner,"Art Nouveau (Modern), Unknown",Art Nouveau,"{Art Nouveau (Modern):90},{Unknown:1}",91,Benešov,1863.0,1938.0,Vinohrady,male,Czechoslovakia,"drawer,visual artist,painter,illustrator",Prague,[],1863.0,1938.0
Aubrey Beardsley,Art Nouveau (Modern),Art Nouveau,{Art Nouveau (Modern):239},239,Brighton,1872.0,1898.0,Menton,male,United Kingdom of Great Britain and Ireland,"exlibrist,lithographer,painter,poster artist,illustrator,author,poet,writer",,[],1872.0,1898.0
Austin Osman Spare,"Art Nouveau (Modern), Symbolism",Symbolism,"{Art Nouveau (Modern):6},{Symbolism:6}",12,Snow Hill,1886.0,1956.0,Lambeth Hospital,male,United Kingdom of Great Britain and Ireland,"occultist,painter,war artist,writer",London,[],1886.0,1956.0
Azim Azimzade,Art Nouveau (Modern),Art Nouveau,{Art Nouveau (Modern):14},14,Novkhany,1880.0,1943.0,Baku,male,Azerbaijan Democratic Republic,"cartoonist,painter,teacher,writer",,[],1880.0,1943.0
Beatrix Potter,Art Nouveau (Modern),Art Nouveau,{Art Nouveau (Modern):32},32,West Brompton,1866.0,1943.0,Near Sawrey,female,United Kingdom,"scientific illustrator,conservationist,novelist,children's writer,mycologist,botanist,painter,illustrator,artist,writer",,[],1866.0,1943.0
Bertold Löffler,Art Nouveau (Modern),Art Nouveau,{Art Nouveau (Modern):6},6,Liberec,1874.0,1960.0,Vienna,male,Germany,"fresco painter,ceramicist,designer,graphic artist,medalist,painter,teacher",,[],1874.0,1960.0
Boris Kustodiev,"Art Nouveau (Modern), Impressionism, Naïve Art (Primitivism), Realism, Socialist Realism",Realism,"{Art Nouveau (Modern):195},{Impressionism:16},{Naïve Art (Primitivism):13},{Realism:413},{Socialist Realism:8}",645,Astrakhan,1878.0,1927.0,Saint Petersburg,male,Russian Empire,"scenographer,painter",,[],1878.0,1927.0
Byam Shaw,"Art Nouveau (Modern), Japonism, Romanticism, Unknown",Romanticism,"{Art Nouveau (Modern):63},{Japonism:4},{Romanticism:7},{Unknown:2}",76,Chennai,1872.0,1919.0,London,male,United Kingdom of Great Britain and Ireland,"drawer,designer,visual artist,painter,illustrator,teacher",,[],1872.0,1919.0
Carl Larsson,"Art Nouveau (Modern), Impressionism, Romanticism",Arts and Crafts,"{Art Nouveau (Modern):109},{Impressionism:7},{Romanticism:1}",117,Storkyrkoförsamlingen,1853.0,1919.0,Sundborns,male,Sweden,"watercolorist,drawer,architectural draftsperson,printmaker,graphic artist,painter,illustrator,writer","Falun Municipality,Grez-sur-Loing,Paris,Stockholm",[],1853.0,1919.0
Carlos Schwabe,"Art Nouveau (Modern), Symbolism",Symbolism,"{Art Nouveau (Modern):43},{Symbolism:37}",80,Altona,1866.0,1926.0,Avon,male,Germany,"designer,graphic artist,painter,illustrator","Geneva,Paris",[],1866.0,1926.0
Carmen Osés Hidalgo,"Art Nouveau (Modern), Expressionism, Post-Impressionism",Modernism,"{Art Nouveau (Modern):2},{Expressionism:1},{Post-Impressionism:6}",9,,1898.0,1961.0,,female,,painter,,[],1898.0,1961.0
Charles E. Burchfield,"Art Nouveau (Modern), Expressionism, New Realism, Regionalism, Symbolism",Regionalism,"{Art Nouveau (Modern):1},{Expressionism:2},{New Realism:16},{Regionalism:4},{Symbolism:1}",24,Ashtabula,1893.0,1967.0,West Seneca,male,United States,"drawer,painter",,[],1893.0,1967.0
Charles Rennie Mackintosh,"Art Nouveau (Modern), Unknown",Arts and Crafts,"{Art Nouveau (Modern):49},{Unknown:1}",50,Townhead,1868.0,1928.0,London,male,United Kingdom,"handicrafter,furniture designer,designer,interior designer,graphic artist,sculptor,painter,architect","Pyrénées-Orientales,Glasgow",[],1868.0,1928.0
Charles Robinson,Art Nouveau (Modern),Art Nouveau,{Art Nouveau (Modern):44},44,Islington,1945.0,1937.0,Buckinghamshire,male,United Kingdom of Great Britain and Ireland,"illustrator,writer",,[],1870.0,1937.0
Clarence Gagnon,"Art Nouveau (Modern), Impressionism",Impressionism,"{Art Nouveau (Modern):9},{Impressionism:109}",118,Montreal,1881.0,1942.0,Montreal,male,Canada,painter,,[],1881.0,1942.0
Cuno Amiet,"Art Nouveau (Modern), Divisionism, Expressionism, Fauvism, Japonism, Post-Impressionism, Symbolism",Symbolism,"{Art Nouveau (Modern):4},{Divisionism:6},{Expressionism:14},{Fauvism:13},{Japonism:2},{Post-Impressionism:44},{Symbolism:5}",88,Solothurn,1868.0,1961.0,Oschwand,male,Switzerland,"printmaker,sculptor,painter,graphic designer",,[],1868.0,1961.0
Dmitri Zhilinsky,"Art Nouveau (Modern), Contemporary Realism, Neoclassicism, Socialist Realism",Socialist Realism,"{Art Nouveau (Modern):4},{Contemporary Realism:9},{Neoclassicism:7},{Socialist Realism:18}",38,Q4123415,1927.0,2015.0,Moscow,male,Soviet Union,"pedagogue,painter",Moscow,['Moscow:1951-1973'],1927.0,2015.0
Dorothy Lathrop,Art Nouveau (Modern),Art Nouveau,{Art Nouveau (Modern):117},117,,1884.0,1952.0,,,,,,,,
Edmund Dulac,Art Nouveau (Modern),Art Nouveau,{Art Nouveau (Modern):96},96,Toulouse,1882.0,1953.0,London,male,United Kingdom of Great Britain and Ireland,"postage stamp designer,graphic artist,painter,illustrator",,[],1882.0,1953.0
Edward E. Simmons,"Art Nouveau (Modern), Impressionism, Realism, Social Realism",Impressionism,"{Art Nouveau (Modern):2},{Impressionism:7},{Realism:19},{Social Realism:2}",30,Concord,1852.0,1931.0,Baltimore,male,United States,"painter,engineer",,[],1852.0,1931.0
Eero Järnefelt,"Art Nouveau (Modern), Realism, Symbolism",Realism,"{Art Nouveau (Modern):5},{Realism:48},{Symbolism:1}",54,Vyborg,1863.0,1937.0,Helsinki,male,Finland,painter,,[],1863.0,1937.0
Egon Schiele,"Art Nouveau (Modern), Expressionism, Impressionism",Expressionism,"{Art Nouveau (Modern):58},{Expressionism:221},{Impressionism:20}",299,Tulln an der Donau,1890.0,1918.0,Vienna,male,Cisleithania,"lithographer,drawer,printmaker,sculptor,painter,architect,photographer","Neulengbach,Český Krumlov,Vienna",[],1890.0,1918.0
Eleanor Fortescue-Brickdale,"Art Nouveau (Modern), Romanticism",Romanticism,"{Art Nouveau (Modern):25},{Romanticism:97}",122,London,1872.0,1945.0,London,female,United Kingdom,"visual artist,botanical illustrator,cartoonist,painter,illustrator",London,[],1872.0,1945.0
Elenore Abbott,"Art Nouveau (Modern), Romanticism",Romanticism,"{Art Nouveau (Modern):10},{Romanticism:4}",14,Lincoln,1875.0,1935.0,,female,United States,"scenographer,painter,illustrator,artist",,[],1875.0,1935.0
Elisabeth Sonrel,Art Nouveau (Modern),Art Nouveau,{Art Nouveau (Modern):18},18,Tours,,1953.0,Sceaux,female,France,"painter,illustrator",,[],1874.0,1953.0
Eliseu Visconti,"Art Nouveau (Modern), Impressionism, Romanticism, Symbolism",Symbolism,"{Art Nouveau (Modern):14},{Impressionism:16},{Romanticism:8},{Symbolism:5}",43,Giffoni Valle Piana,1866.0,1944.0,Rio de Janeiro,male,Brazil,"drawer,painter,graphic designer",,[],1866.0,1944.0
Emile Galle,Art Nouveau (Modern),Art Nouveau,{Art Nouveau (Modern):19},19,Nancy,1846.0,1904.0,Nancy,male,France,"ceramicist,designer,glass artist,glassblower,cabinetmaker",Nancy,[],1846.0,1904.0
Emily Carr,"Art Nouveau (Modern), Fauvism, Post-Impressionism, Unknown",Post-Impressionism,"{Art Nouveau (Modern):9},{Fauvism:1},{Post-Impressionism:34},{Unknown:1}",45,Victoria,1871.0,1945.0,Victoria,female,Canada,"autobiographer,ceramicist,painter,artist,writer","Sweden,Vancouver,London,Victoria,Paris,Canada",[],1871.0,1945.0
Emmerico Nunes,Art Nouveau (Modern),Modernismo,{Art Nouveau (Modern):13},13,Lisbon,1888.0,1968.0,,male,Kingdom of Portugal,painter,,[],1888.0,1968.0
Ethel Reed,Art Nouveau (Modern),Art Nouveau,{Art Nouveau (Modern):46},46,Newburyport,1876.0,1912.0,London,female,United States,"lithographer,printmaker,illustrator,graphic designer",,[],1874.0,1912.0
Eugene Lanceray,"Art Nouveau (Modern), Socialist Realism, Symbolism, Unknown",Art Nouveau,"{Art Nouveau (Modern):18},{Socialist Realism:4},{Symbolism:1},{Unknown:13}",36,Pavlovsk,1875.0,1946.0,Moscow,male,Russian Empire,"scenographer,graphic artist,sculptor,painter,illustrator,mosaicist,professor",,[],1875.0,1946.0
Eugène Grasset,"Art Nouveau (Modern), Expressionism, Unknown",Art Nouveau,"{Art Nouveau (Modern):42},{Expressionism:2},{Unknown:1}",45,Lausanne,1845.0,1917.0,Sceaux,male,France,"lithographer,drawer,jewelry designer,postage stamp designer,sculptor,painter,poster artist,illustrator,graphic designer,type designer",Paris,['Paris:1871-1871'],1845.0,1917.0
Fedir Krychevsky,"Art Nouveau (Modern), Impressionism, Realism, Socialist Realism",Art Nouveau,"{Art Nouveau (Modern):12},{Impressionism:5},{Realism:3},{Socialist Realism:3}",23,Lebedyn,1879.0,1947.0,Irpin,male,Russian Empire,"university teacher,painter",,[],1879.0,1947.0
Felice Casorati,"Art Nouveau (Modern), Expressionism, Metaphysical art, Symbolism",Metaphysical art,"{Art Nouveau (Modern):5},{Expressionism:14},{Metaphysical art:8},{Symbolism:3}",30,Novara,1883.0,1963.0,Turin,male,Kingdom of Italy,"designer,graphic artist,sculptor,painter","Rome,Venice,Turin,Padua","['Rome:1907-1909', 'Venice:1907-1915', 'Turin:1918-1963', 'Padua:1895-1907']",1883.0,1963.0
Felix Vallotton,"Art Nouveau (Modern), Cloisonnism, Impressionism, Intimism, Magic Realism, Post-Impressionism, Realism, Symbolism, Unknown",Post-Impressionism,"{Art Nouveau (Modern):135},{Cloisonnism:18},{Impressionism:3},{Intimism:17},{Magic Realism:80},{Post-Impressionism:26},{Realism:25},{Symbolism:8},{Unknown:4}",316,,1865.0,,,,,,,,,
Ferdinand Hodler,"Art Nouveau (Modern), Impressionism, Post-Impressionism, Realism, Romanticism, Symbolism, Unknown",Symbolism,"{Art Nouveau (Modern):97},{Impressionism:6},{Post-Impressionism:28},{Realism:34},{Romanticism:5},{Symbolism:85},{Unknown:1}",256,Bern,1853.0,1918.0,Geneva,male,Switzerland,"lithographer,designer,graphic artist,university teacher,painter",,[],1853.0,1918.0
Fernand Khnopff,"Art Nouveau (Modern), Realism, Symbolism, Unknown",Symbolism,"{Art Nouveau (Modern):1},{Realism:4},{Symbolism:28},{Unknown:1}",34,Dendermonde,1858.0,1921.0,City of Brussels,male,Belgium,"philosopher,visual artist,graphic artist,sculptor,painter,writer,photographer",,[],1858.0,1921.0
Filipp Malyavin,"Art Nouveau (Modern), Expressionism, Impressionism, Socialist Realism, Unknown",Art Nouveau,"{Art Nouveau (Modern):16},{Expressionism:13},{Impressionism:7},{Socialist Realism:1},{Unknown:2}",39,Kazanka,1869.0,1940.0,Nice,male,Russian Empire,"drawer,visual artist,graphic artist,painter",,[],1869.0,1940.0
Frances Macdonald,Art Nouveau (Modern),Arts and Crafts,{Art Nouveau (Modern):23},23,Wallasey,1873.0,1921.0,Aberdeen,female,United Kingdom,"painter,artist",,[],1914.0,2002.0
Frank Cadogan Cowper,"Art Nouveau (Modern), Romanticism",Romanticism,"{Art Nouveau (Modern):11},{Romanticism:8}",19,Wicken,1877.0,1958.0,Cirencester,male,United Kingdom of Great Britain and Ireland,"watercolorist,drawer,visual artist,muralist,painter,illustrator",,[],1877.0,1958.0
Frank Johnston,"Art Nouveau (Modern), Post-Impressionism, Symbolism, Unknown",Art Nouveau,"{Art Nouveau (Modern):9},{Post-Impressionism:5},{Symbolism:1},{Unknown:1}",16,Toronto,1929.0,1949.0,Toronto,male,Canada,painter,,[],1888.0,1949.0
Frank Xavier Leyendecker,"Art Nouveau (Modern), Kitsch",Art Nouveau,"{Art Nouveau (Modern):12},{Kitsch:5}",17,Germany,1876.0,1924.0,,male,Germany,"drawer,painter,illustrator","United States,Netherlands","['United States:1883-1883', 'Netherlands:1912-1912']",1877.0,1924.0
Franklin Carmichael,"Art Nouveau (Modern), Post-Impressionism, Symbolism",Art Nouveau,"{Art Nouveau (Modern):22},{Post-Impressionism:2},{Symbolism:3}",27,Orillia,1890.0,1945.0,Toronto,male,Canada,painter,,[],1890.0,1945.0
Franz Stuck,"Art Nouveau (Modern), Symbolism, Unknown",Symbolism,"{Art Nouveau (Modern):8},{Symbolism:73},{Unknown:2}",83,Tettenweis,1863.0,1928.0,Munich,male,Kingdom of Bavaria,"miller,graphic artist,university teacher,sculptor,painter,architect,teacher",Munich,[],1863.0,1928.0
Frederick Carl Frieseke,"Art Nouveau (Modern), Divisionism, Impressionism, Post-Impressionism",Impressionism,"{Art Nouveau (Modern):2},{Divisionism:1},{Impressionism:37},{Post-Impressionism:2}",42,Owosso,1874.0,1939.0,Le Mesnil-sur-Blangy,male,United States,painter,,[],1874.0,1939.0
Fritz Rehm,Art Nouveau (Modern),Art Nouveau,{Art Nouveau (Modern):11},11,Munich,1871.0,1928.0,Lichtenfels,male,Germany,"drawer,designer,graphic artist,painter,poster artist,illustrator,graphic designer",,[],1871.0,1928.0
Fujishima Takeji,"Art Nouveau (Modern), Expressionism, Impressionism, Pointillism, Post-Impressionism, Realism, Renaissance, Romanticism, Ukiyo-e",Romanticism,"{Art Nouveau (Modern):24},{Expressionism:1},{Impressionism:80},{Pointillism:2},{Post-Impressionism:66},{Realism:2},{Renaissance:3},{Romanticism:8},{Ukiyo-e:2}",188,Ikenoue-chō,1867.0,1943.0,Tokyo,male,Japan,"university teacher,painter",,[],1867.0,1943.0
Gabriel von Max,"Art Nouveau (Modern), Romanticism, Symbolism, Unknown",Romanticism,"{Art Nouveau (Modern):2},{Romanticism:22},{Symbolism:8},{Unknown:2}",34,Prague,1840.0,1915.0,Munich,male,Austrian Empire,"university teacher,pedagogue,painter,teacher",Munich,[],1840.0,1915.0
Galileo Chini,"Art Nouveau (Modern), Impressionism",Art Nouveau,"{Art Nouveau (Modern):8},{Impressionism:4}",12,Florence,1873.0,1956.0,Florence,male,Kingdom of Italy,"ceramicist,scenographer,painter,graphic designer,architect",,[],1873.0,1956.0
George Barbier,Art Nouveau (Modern),Art Nouveau,{Art Nouveau (Modern):21},21,Nantes,1882.0,1932.0,Paris,male,France,"fashion illustrator,fashion designer,visual artist,choreographer,painter",,[],1882.0,1932.0
Georges Lemmen,"Art Nouveau (Modern), Divisionism, Impressionism, Neo-Impressionism, Post-Impressionism, Unknown",Neo-Impressionism,"{Art Nouveau (Modern):2},{Divisionism:1},{Impressionism:2},{Neo-Impressionism:13},{Post-Impressionism:9},{Unknown:1}",28,Schaerbeek,1865.0,1916.0,Uccle - Ukkel,male,Belgium,"pastellist,watercolorist,drawer,etcher,visual artist,painter,illustrator,engraver","City of Brussels,London",['London:1892-1894'],1865.0,1916.0
Georges Rochegrosse,"Art Nouveau (Modern), Impressionism, Orientalism",Orientalism,"{Art Nouveau (Modern):58},{Impressionism:1},{Orientalism:8}",67,Versailles,1859.0,1938.0,El Biar,male,France,"etcher,graphic artist,painter,poster artist,illustrator",,[],1859.0,1938.0
Gustav Klimt,"Art Nouveau (Modern), Japonism, Neoclassicism, Realism, Romanticism, Symbolism, Unknown",Symbolism,"{Art Nouveau (Modern):86},{Japonism:6},{Neoclassicism:3},{Realism:5},{Romanticism:2},{Symbolism:50},{Unknown:9}",161,Vienna,1862.0,1918.0,Vienna,male,Cisleithania,"drawer,architectural draftsperson,designer,graphic artist,painter","Venice,Ravenna,London,Brussels-Capital Region,Vienna,Florence",[],1862.0,1918.0
Hans Andersen Brendekilde,"Art Nouveau (Modern), Realism, Social Realism",Social Realism,"{Art Nouveau (Modern):7},{Realism:68},{Social Realism:11}",86,Brændekilde,1857.0,1942.0,Jyllinge,male,Kingdom of Denmark,painter,,[],1857.0,1942.0
Haralampi Tachev,"Art Nouveau (Modern), Unknown",Art Nouveau,"{Art Nouveau (Modern):16},{Unknown:1}",17,,,,,,,,,,,
Harry Clarke,Art Nouveau (Modern),Arts and Crafts,{Art Nouveau (Modern):70},70,Dublin,1889.0,1931.0,Chur,male,United Kingdom of Great Britain and Ireland,"glass artist,painter,illustrator",,[],1889.0,1931.0
Heinrich Lefler,Art Nouveau (Modern),Art Nouveau,{Art Nouveau (Modern):34},34,Vienna,1863.0,1919.0,Vienna,male,Austria-Hungary,"painter,illustrator",,[],1863.0,1919.0
Henri de Toulouse-Lautrec,"Art Nouveau (Modern), Impressionism, Post-Impressionism, Realism, Unknown",Post-Impressionism,"{Art Nouveau (Modern):112},{Impressionism:32},{Post-Impressionism:221},{Realism:7},{Unknown:1}",373,Albi,1864.0,1901.0,Château Malromé,male,France,"lithographer,drawer,architectural draftsperson,printmaker,ceramicist,designer,visual artist,graphic artist,painter,poster artist,graphic designer",Paris,[],1864.0,1901.0
Henry van de Velde,"Art Nouveau (Modern), Cloisonnism, Constructivism, Neo-Impressionism, Unknown",Neo-Impressionism,"{Art Nouveau (Modern):11},{Cloisonnism:1},{Constructivism:2},{Neo-Impressionism:5},{Unknown:1}",20,Antwerp,1863.0,1957.0,Oberägeri,male,Germany,"furniture designer,designer,jewelry designer,interior designer,university teacher,painter,engineer,architect",Italy,[],1863.0,1957.0
Heorhiy Narbut,Art Nouveau (Modern),Art Nouveau,{Art Nouveau (Modern):110},110,Narbutivka,1886.0,1920.0,Kyiv,male,Ukrainian People's Republic,"drawer,designer,graphic artist,painter,illustrator","Kyiv,Saint Petersburg,Munich","['Kyiv:1917-1920', 'Saint Petersburg:1900-1917', 'Munich:1909-1910']",1886.0,1920.0
