artist,styles,movement,styles_extended,pictures_count,birth_place,birth_year,death_year,death_place,gender,citizenship,occupations,locations,locations_with_years
Periklis Vyzantios,"Expressionism, Impressionism, Post-Impressionism",Impressionism,"{Expressionism:6},{Impressionism:13},{Post-Impressionism:15}",34,Athens,1893.0,1972.0,Athens,male,Greece,painter,,[]
Petre Abrudan,"Expressionism, Impressionism",Impressionism,"{Expressionism:8},{Impressionism:1}",9,Sutoru,1907.0,1979.0,Cluj-Napoca,male,Romania,"painter,mosaicist",,[]
Pierre Alechinsky,"Expressionism, Neo-Expressionism, Surrealism, Tachisme, Unknown",Art Informel,"{Expressionism:34},{Neo-Expressionism:90},{Surrealism:39},{Tachisme:55},{Unknown:2}",220,Saint-Gilles - Sint-Gillis,1927.0,,,male,Belgium,"drawer,printmaker,etcher,ceramicist,visual artist,painter,illustrator,artist,writer",Bougival,[]
Pietro Lazzari,Expressionism,Expressionism,{Expressionism:21},21,Rome,1895.0,1979.0,,male,Kingdom of Italy,"sculptor,painter",,[]
Pinchus Kremegne,Expressionism,Expressionism,{Expressionism:12},12,Zhaludok,1890.0,1981.0,Céret,male,Russian Empire,"lithographer,sculptor,painter","Russia,Paris",['Paris:1912-1912']
Piroska Szanto,"Expressionism, Surrealism",Surrealism,"{Expressionism:11},{Surrealism:26}",37,Kiskunfélegyháza,1913.0,1998.0,Budapest,female,Hungary,"textile artist,graphic artist,painter,illustrator,writer",,[]
Prudence Heward,Expressionism,Expressionism,{Expressionism:24},24,Montreal,1896.0,1947.0,Los Angeles,female,Canada,"painter,singer",,[]
Ramon Oviedo,"Expressionism, Surrealism",Expressionism,"{Expressionism:23},{Surrealism:18}",41,Santa Cruz de Barahona,1924.0,2015.0,Santo Domingo,male,Dominican Republic,painter,,[]
Remedios Varo,"Expressionism, Metaphysical art, Surrealism",Surrealism,"{Expressionism:1},{Metaphysical art:8},{Surrealism:103}",112,Anglès,1908.0,1963.0,Mexico City,female,Spain,"drawer,sculptor,painter","Paris,Barcelona,Mexico City,Q2807",[]
Roberto Montenegro,"Expressionism, Metaphysical art, Naïve Art (Primitivism), Surrealism, Unknown",Muralism,"{Expressionism:2},{Metaphysical art:1},{Naïve Art (Primitivism):1},{Surrealism:2},{Unknown:3}",9,Guadalajara,1887.0,1968.0,Mexico City,male,Mexico,"lithographer,sculptor,painter,illustrator",,[]
Rudolf Bér,Expressionism,Expressionism,{Expressionism:17},17,Budapest,1924.0,2004.0,Budapest,male,Hungary,painter,,[]
Rudolf Láng,"Expressionism, Metaphysical art",Expressionism,"{Expressionism:41},{Metaphysical art:1}",42,Nagyszénás,1904.0,1991.0,Budapest,male,Hungary,"costume designer,painter,graphic designer",,[]
SM Sultan,"Expressionism, Social Realism",Social Realism,"{Expressionism:7},{Social Realism:1}",8,Narail District,1923.0,1994.0,Jashore,male,British Raj,"painter,artist",Karachi,[]
Sattar Bahlulzade,"Expressionism, Impressionism, Neo-Impressionism, Socialist Realism",Impressionism,"{Expressionism:2},{Impressionism:3},{Neo-Impressionism:33},{Socialist Realism:17}",55,"Əmircan, Baku",1909.0,1974.0,Moscow,male,Azerbaijan Democratic Republic,painter,,[]
Sidney Nolan,"Expressionism, Surrealism",Surrealism,"{Expressionism:5},{Surrealism:17}",22,Carlton,1917.0,1992.0,London,male,Australia,"visual artist,painter,illustrator,artist",Britain,['Britain:1950-1950']
Sorin Ilfoveanu,"Expressionism, Surrealism",Contemporary,"{Expressionism:2},{Surrealism:15}",17,Câmpulung,1946.0,,,male,Romania,"graphic artist,painter",,[]
Spyros Papaloukas,"Expressionism, Impressionism, Post-Impressionism",Expressionism,"{Expressionism:32},{Impressionism:2},{Post-Impressionism:18}",52,Desfina,1892.0,1957.0,Athens,male,Greece,"iconographer,painter",,[]
Tal R,"Expressionism, Fauvism, Outsider art",Outsider art (Art brut),"{Expressionism:3},{Fauvism:3},{Outsider art:14}",20,Tel Aviv,1967.0,,,male,Kingdom of Denmark,"collagist,film actor,graphic artist,painter",Copenhagen,[]
Teodor Harșia,"Expressionism, Socialist Realism",Expressionism,"{Expressionism:11},{Socialist Realism:1}",12,Filpișu Mare,1914.0,1987.0,,male,,painter,,[]
Thalia Flora-Karavia,"Expressionism, Impressionism, Unknown",Impressionism,"{Expressionism:8},{Impressionism:15},{Unknown:3}",26,Siatista,1871.0,1960.0,Athens,female,Greece,painter,,[]
Theophrastos Triantafyllidis,"Expressionism, Impressionism, Post-Impressionism",Impressionism,"{Expressionism:3},{Impressionism:23},{Post-Impressionism:12}",38,İzmir,1881.0,1955.0,Athens,male,Greece,painter,,[]
Tia Peltz,"Expressionism, Unknown",Expressionism,"{Expressionism:35},{Unknown:1}",36,Bucharest,1923.0,1999.0,Bucharest,female,Romania,painter,,[]
Tivadar Kosztka Csontvary,"Expressionism, Post-Impressionism, Symbolism, Unknown",Post-Impressionism,"{Expressionism:8},{Post-Impressionism:21},{Symbolism:14},{Unknown:1}",44,Sabinov,1853.0,1919.0,Budapest,male,Hungary,"journalist,painter",,[]
Tsuguharu Foujita,"Expressionism, Japonism, Magic Realism, Unknown",Expressionism,"{Expressionism:30},{Japonism:1},{Magic Realism:128},{Unknown:2}",161,Shinogawamachi,1886.0,1968.0,Zurich,male,France,"drawer,printmaker,painter,illustrator",,[]
Varlin,Expressionism,Expressionism,{Expressionism:37},37,Zurich,1900.0,1977.0,Bondo,male,Switzerland,"caricaturist,painter,photographer",,[]
Vasile Kazar,Expressionism,Expressionism,{Expressionism:38},38,,1913.0,1998.0,,male,Romania,"drawer,graphic artist,illustrator",,[]
Vela Zanetti,"Expressionism, Muralism",Muralism,"{Expressionism:3},{Muralism:25}",28,Milagros,1913.0,1999.0,Burgos,male,Spain,painter,,[]
Vilho Lampi,Expressionism,Expressionism,{Expressionism:20},20,Oulu,1898.0,1936.0,Rautasilta,male,Finland,painter,,[]
Vilmos Aba-Novak,Expressionism,Expressionism,{Expressionism:21},21,Budapest,1894.0,1941.0,Budapest,male,Hungary,"printmaker,painter",,[]
