artist,styles,movement,styles_extended,pictures_count,birth_place,birth_year,death_year,death_place,gender,citizenship,occupations,locations,locations_with_years
Ad Reinhardt,"Abstract Art, Abstract Expressionism, Color Field Painting, Expressionism, Hard Edge Painting, Synthetic Cubism",Abstract Expressionism,"{Abstract Art:15},{Abstract Expressionism:5},{Color Field Painting:15},{Expressionism:7},{Hard Edge Painting:8},{Synthetic Cubism:2}",52,Buffalo,1913.0,1967.0,New York City,male,United States,"collagist,printmaker,university teacher,painter",New York City,[]
Adnan Coker,"Abstract Art, Abstract Expressionism",Abstract Art,"{Abstract Art:25},{Abstract Expressionism:3}",28,,1927.0,2022.0,,male,,painter,,[]
Akkitham Narayanan,Abstract Art,Abstract Art,{Abstract Art:17},17,Kerala,1939.0,,,male,Dominion of India,"printmaker,painter",,[]
Alberto Magnelli,"Abstract Art, Art Nouveau (Modern), Cubism, Expressionism, Fauvism, Metaphysical art",Abstract Art,"{Abstract Art:19},{Art Nouveau (Modern):2},{Cubism:4},{Expressionism:5},{Fauvism:4},{Metaphysical art:1}",35,Florence,1888.0,1971.0,Meudon,male,Kingdom of Italy,"painter,illustrator,artist","Florence,Paris",[]
Alekos Kontopoulos,"Abstract Art, Cubism, Expressionism, Post-Impressionism, Realism, Social Realism, Surrealism",Social Realism,"{Abstract Art:26},{Cubism:5},{Expressionism:10},{Post-Impressionism:8},{Realism:12},{Social Realism:6},{Surrealism:12}",79,Lamia,1904.0,1975.0,Athens,male,Greece,"painter,writer",,[]
Alexander Calder,"Abstract Art, Abstract Expressionism, American Realism, Environmental (Land) Art, Expressionism, Kinetic Art, Surrealism, Unknown",Kinetic art,"{Abstract Art:32},{Abstract Expressionism:22},{American Realism:7},{Environmental (Land) Art:1},{Expressionism:88},{Kinetic Art:56},{Surrealism:21},{Unknown:2}",229,Lawnton,1898.0,1976.0,New York City,male,United States,"drawer,manufacturer,printmaker,designer,jewelry designer,sculptor,painter,illustrator,photographer","Tarragona,Florida,Berlin,Calvi,Palma,Barcelona,New York City,London,Paris,Sherman,Málaga,Q2807,Oshkosh",[]
Alexander Rodchenko,"Abstract Art, Constructivism, Cubo-Futurism, Unknown",Avant-garde,"{Abstract Art:5},{Constructivism:53},{Cubo-Futurism:2},{Unknown:26}",86,Saint Petersburg,1891.0,1956.0,Moscow,male,Russian Socialist Federative Soviet Republic,"designer,visual artist,graphic artist,sculptor,typographer,painter,graphic designer,architect,photographer","Moscow,Kazan,Paris",[]
Alexej von Jawlensky,"Abstract Art, Expressionism, Fauvism, Impressionism, Pointillism, Unknown",Expressionism,"{Abstract Art:9},{Expressionism:31},{Fauvism:24},{Impressionism:2},{Pointillism:1},{Unknown:1}",68,Torzhok,1864.0,1941.0,Wiesbaden,male,Weimar Republic,"drawer,printmaker,art collector,painter","Germany,Zurich,Ascona,Paris,Saint Petersburg,Murnau am Staffelsee,Saint-Prex,Moscow,Wiesbaden,Munich",[]
Alfred Freddy Krupa,"Abstract Art, Abstract Expressionism, Academicism, Art Informel, Conceptual Art, Contemporary, Contemporary Realism, Documentary photography, Existential Art, Expressionism, Fantastic Realism, Fantasy Art, Figurative Expressionism, Impressionism, Ink and wash painting, Minimalism, Neo-Expressionism, Neo-Figurative Art, Neo-Impressionism, Neo-Minimalism, Neo-Pop Art, New European Painting, New Ink Painting, New Realism, P&D (Pattern and Decoration), Photorealism, Pop Art, Post-Impressionism, Post-Minimalism, Poster Art Realism, Realism, Street Photography, Street art, Sumi-e (Suiboku-ga), Surrealism, Symbolism, Unknown",New Ink Art,"{Abstract Art:1},{Abstract Expressionism:1},{Academicism:3},{Art Informel:7},{Conceptual Art:2},{Contemporary:17},{Contemporary Realism:68},{Documentary photography:1},{Existential Art:1},{Expressionism:29},{Fantastic Realism:3},{Fantasy Art:14},{Figurative Expressionism:18},{Impressionism:4},{Ink and wash painting:27},{Minimalism:13},{Neo-Expressionism:53},{Neo-Figurative Art:46},{Neo-Impressionism:1},{Neo-Minimalism:27},{Neo-Pop Art:2},{New European Painting:44},{New Ink Painting:32},{New Realism:24},{P&D (Pattern and Decoration):4},{Photorealism:33},{Pop Art:3},{Post-Impressionism:13},{Post-Minimalism:12},{Poster Art Realism:1},{Realism:9},{Street Photography:97},{Street art:1},{Sumi-e (Suiboku-ga):68},{Surrealism:24},{Symbolism:17},{Unknown:15}",735,Karlovac,1971.0,,,male,Croatia,"book artist,art educator,painter,photographer",,[]
Alice Rahon,"Abstract Art, Abstract Expressionism, Expressionism, Unknown",Abstract Expressionism,"{Abstract Art:2},{Abstract Expressionism:18},{Expressionism:2},{Unknown:1}",23,Chenecey-Buillon,1904.0,1987.0,Mexico City,female,France,"painter,illustrator,poet,writer",,[]
Alla Horska,"Abstract Art, Cubism, Expressionism, Naïve Art (Primitivism), Socialist Realism",Socialist Realism,"{Abstract Art:4},{Cubism:3},{Expressionism:10},{Naïve Art (Primitivism):7},{Socialist Realism:8}",32,Yalta,1929.0,1970.0,Vasylkiv,female,Soviet Union,"visual artist,painter,dissident",,[]
Alphonse Allais,Abstract Art,Incoherents,{Abstract Art:7},7,Honfleur,1854.0,1905.0,Paris,male,France,"speculative fiction writer,journalist,painter,dramaturge,comedian,poet,composer,writer",,[]
Amadeo de Souza-Cardoso,"Abstract Art, Cubism, Dada, Expressionism, Futurism, Impressionism, Unknown",Expressionism,"{Abstract Art:3},{Cubism:26},{Dada:4},{Expressionism:22},{Futurism:3},{Impressionism:8},{Unknown:1}",67,Mancelos,1887.0,1918.0,Espinho,male,Kingdom of Portugal,"caricaturist,painter",Portugal,[]
Amin Aghaei,"Abstract Art, Magic Realism",Contemporary,"{Abstract Art:6},{Magic Realism:10}",16,Isfahan,1982.0,,,male,Iran,"caricaturist,cartoonist,painter,illustrator",,[]
Andrzej Nowacki,Abstract Art,Abstract Art,{Abstract Art:26},26,Rabka-Zdrój,1953.0,,,male,,"visual artist,graphic artist,painter,researcher",,[]
Anni Albers,"Abstract Art, Op Art",Constructivism,"{Abstract Art:27},{Op Art:1}",28,Berlin,1899.0,1994.0,Orange,female,Germany,"textile designer,lithographer,textile artist,designer,jewelry designer,university teacher,painter,author",,[]
Anthony Caro,Abstract Art,New Generation Sculpture,{Abstract Art:14},14,Surrey,1924.0,2013.0,London,male,United Kingdom of Great Britain and Ireland,"visual artist,sculptor,artist",,[]
Arne Quinze,"Abstract Art, Conceptual Art, Contemporary, Unknown",Contemporary,"{Abstract Art:3},{Conceptual Art:12},{Contemporary:4},{Unknown:1}",20,Ghent,1971.0,,,male,Belgium,"installation artist,designer,sculptor",,[]
Arthur Beecher Carles,"Abstract Art, Cubism, Expressionism, Post-Impressionism",Post-Impressionism,"{Abstract Art:3},{Cubism:2},{Expressionism:1},{Post-Impressionism:11}",17,Philadelphia,1882.0,1952.0,Philadelphia,male,United States,painter,"Philadelphia,Paris",[]
Arthur Dove,"Abstract Art, Dada, Expressionism",Abstract Art,"{Abstract Art:10},{Dada:3},{Expressionism:11}",24,Canandaigua,1880.0,1946.0,Huntington,male,United States,"drawer,painter",,[]
Arthur Segal,"Abstract Art, Cubism, Expressionism, Impressionism, Pointillism, Post-Impressionism, Realism",Expressionism,"{Abstract Art:3},{Cubism:2},{Expressionism:16},{Impressionism:2},{Pointillism:2},{Post-Impressionism:5},{Realism:12}",42,Iași,1875.0,1944.0,London,male,Romania,"graphic artist,painter,artist,writer","London,Berlin",[]
Auguste Herbin,"Abstract Art, Cubism, Fauvism, Impressionism, Orphism, Pointillism, Post-Impressionism",Post-Impressionism,"{Abstract Art:17},{Cubism:22},{Fauvism:14},{Impressionism:6},{Orphism:2},{Pointillism:2},{Post-Impressionism:17}",80,Quiévy,1882.0,1960.0,Paris,male,France,"designer,visual artist,painter,artist,author",,[]
Babak-Matveev,"Abstract Art, Digital Art, Neo-Pop Art, Pop Art",Neo-Pop Art,"{Abstract Art:1},{Digital Art:5},{Neo-Pop Art:62},{Pop Art:1}",69,,,,,,,,,
Balcomb Greene,"Abstract Art, Figurative Expressionism, Surrealism",Abstract Art,"{Abstract Art:9},{Figurative Expressionism:11},{Surrealism:2}",22,Shelby,1904.0,1990.0,Montauk,male,United States,"printmaker,painter,artist",,[]
Beauford Delaney,"Abstract Art, Abstract Expressionism, Academicism, American Realism, Cubism, Expressionism, Fauvism, Post-Impressionism",Modernism,"{Abstract Art:1},{Abstract Expressionism:11},{Academicism:1},{American Realism:3},{Cubism:4},{Expressionism:16},{Fauvism:16},{Post-Impressionism:3}",55,Knoxville,1901.0,1979.0,14th arrondissement of Paris,male,United States,painter,France,['France:1953-1979']
Ben Nicholson,"Abstract Art, Cubism",Cubism,"{Abstract Art:5},{Cubism:17}",22,Buckinghamshire,1894.0,1982.0,London,male,United Kingdom,"designer,sculptor,painter,artist",,[]
Bice Lazzari,"Abstract Art, Art Informel, Cubism, Post-Impressionism",Art Informel,"{Abstract Art:4},{Art Informel:22},{Cubism:1},{Post-Impressionism:1}",28,Venice,1900.0,1981.0,Rome,female,Kingdom of Italy,painter,,[]
Bruno Cassinari,"Abstract Art, Abstract Expressionism, Cubism, Expressionism",Expressionism,"{Abstract Art:1},{Abstract Expressionism:5},{Cubism:3},{Expressionism:4}",13,Piacenza,1912.0,1992.0,Milan,male,Kingdom of Italy,"sculptor,painter",Italy,[]
Chaokun Wang,"Abstract Art, Expressionism, Minimalism, Unknown",Contemporary,"{Abstract Art:1},{Expressionism:1},{Minimalism:1},{Unknown:20}",23,,,,,,,,,
Charles Alston,"Abstract Art, Cubism, Expressionism, Muralism, Social Realism",Harlem Renaissance (New Negro Movement),"{Abstract Art:3},{Cubism:7},{Expressionism:2},{Muralism:2},{Social Realism:26}",40,Charlotte,1907.0,1977.0,New York City,male,United States,"caricaturist,visual artist,sculptor,painter",,[]
Charles Gibbons,"Abstract Art, Abstract Expressionism, Lyrical Abstraction",Abstract Expressionism,"{Abstract Art:7},{Abstract Expressionism:7},{Lyrical Abstraction:11}",25,Grider,1901.0,1968.0,Damariscotta,male,United States,politician,Boston,[]
Clyfford Still,"Abstract Art, Abstract Expressionism, Color Field Painting, Expressionism",Abstract Art,"{Abstract Art:5},{Abstract Expressionism:14},{Color Field Painting:20},{Expressionism:6}",45,Grandin,1904.0,1980.0,Baltimore,male,United States,"printmaker,painter","Saratoga Springs,New York City,Richmond,San Francisco",[]
Constantin Blendea,"Abstract Art, Expressionism",Abstract Art,"{Abstract Art:23},{Expressionism:7}",30,Peștișani,1929.0,2012.0,Romania,male,Romania,painter,,[]
Constantin Brâncuși,"Abstract Art, Dada, Expressionism, Naïve Art (Primitivism), Unknown",Expressionism,"{Abstract Art:19},{Dada:4},{Expressionism:18},{Naïve Art (Primitivism):2},{Unknown:2}",45,Hobița,1876.0,1957.0,Paris,male,Romania,"assemblage artist,architectural draftsperson,sculptor,painter,illustrator,photographer","Livorno,New York City,Paris,India,București,Villefranche-sur-Saône,Egypt",[]
Constantin Flondor,"Abstract Art, Environmental (Land) Art, Expressionism, Op Art, Realism, Surrealism",Abstract Art,"{Abstract Art:25},{Environmental (Land) Art:4},{Expressionism:12},{Op Art:6},{Realism:4},{Surrealism:3}",54,Chernivtsi,1936.0,,,male,Romania,"painter,professor",,[]
Daniel Sambo-Richter,"Abstract Art, New European Painting",New European Painting,"{Abstract Art:1},{New European Painting:49}",50,Görlitz,1966.0,,,male,Germany,"sculptor,painter",,[]
David Bomberg,"Abstract Art, Cubism, Expressionism, Realism",Cubism,"{Abstract Art:2},{Cubism:6},{Expressionism:8},{Realism:1}",17,Birmingham,1890.0,1957.0,London,male,United Kingdom,"drawer,painter,artist",,[]
David Burliuk,"Abstract Art, Cubo-Futurism, Fauvism, Futurism, Naïve Art (Primitivism), Post-Impressionism, Realism, Surrealism, Unknown",Avant-garde,"{Abstract Art:5},{Cubo-Futurism:26},{Fauvism:5},{Futurism:52},{Naïve Art (Primitivism):121},{Post-Impressionism:136},{Realism:45},{Surrealism:10},{Unknown:2}",402,Semyrotivschyna,1882.0,1967.0,Southampton,male,Russian Empire,"opinion journalist,visual artist,painter,illustrator,poet",,[]
David Kakabadze,"Abstract Art, Cubism, Expressionism, Socialist Realism, Unknown",Realism,"{Abstract Art:21},{Cubism:7},{Expressionism:30},{Socialist Realism:4},{Unknown:10}",72,Didi-Kukhi,1889.0,1952.0,Tbilisi,male,Russian Empire,"scenographer,art historian,filmmaker,painter,photographer",,[]
David Michael Hinnebusch,"Abstract Art, Contemporary, Expressionism, Figurative Expressionism, Naïve Art (Primitivism), Neo-Dada, Neo-Expressionism, Neo-Figurative Art",Neo-Expressionism,"{Abstract Art:1},{Contemporary:6},{Expressionism:7},{Figurative Expressionism:14},{Naïve Art (Primitivism):23},{Neo-Dada:1},{Neo-Expressionism:90},{Neo-Figurative Art:40}",182,Pittsburgh,1964.0,,,male,United States,"printmaker,painter,photographer",,[]
David Smith,"Abstract Art, Abstract Expressionism, Unknown",Abstract Expressionism,"{Abstract Art:4},{Abstract Expressionism:11},{Unknown:1}",16,Decatur,1906.0,1965.0,Bennington,male,United States,"designer,visual artist,sculptor,painter,artist,writer,photographer",,[]
Dimitris Mytaras,"Abstract Art, Contemporary Realism, Expressionism, Surrealism",Expressionism,"{Abstract Art:2},{Contemporary Realism:4},{Expressionism:61},{Surrealism:3}",70,Chalkida,1934.0,2017.0,Athens,male,Greece,painter,,[]
Dusan Dzamonja,"Abstract Art, Unknown",Contemporary,"{Abstract Art:1},{Unknown:3}",4,Strumica,1928.0,2009.0,Zagreb,male,Croatia,"drawer,sculptor,painter",Zagreb,[]
Eduardo Chillida,"Abstract Art, Surrealism",Abstract Art,"{Abstract Art:15},{Surrealism:2}",17,San Sebastián,1924.0,2002.0,San Sebastián,male,Spain,"drawer,visual artist,graphic artist,sculptor,association football player,illustrator",,[]
Edward Wadsworth,"Abstract Art, Cubism, Impressionism, Post-Impressionism, Surrealism",Vorticism,"{Abstract Art:4},{Cubism:4},{Impressionism:2},{Post-Impressionism:2},{Surrealism:43}",55,Cleckheaton,1889.0,1949.0,Bayswater,male,United Kingdom,"lithographer,architectural draftsperson,printmaker,graphic artist,painter,illustrator,artist,engraver","Venice,London",['Venice:1918-1918']
Else Alfelt,Abstract Art,Abstract Art,{Abstract Art:12},12,Copenhagen,1910.0,1974.0,Rigshospitalet,female,Kingdom of Denmark,painter,Copenhagen,[]
Emilio Pettoruti,"Abstract Art, Cubism, Post-Impressionism",Cubism,"{Abstract Art:1},{Cubism:5},{Post-Impressionism:1}",7,La Plata,1893.0,1971.0,Paris,male,Argentina,"painter,illustrator","Italy,Buenos Aires,Europe,Paris","['Italy:1913-1921', 'Europe:1952-1954']"
Endre Rozsda,"Abstract Art, Lyrical Abstraction, Post-Impressionism, Surrealism",Surrealism,"{Abstract Art:7},{Lyrical Abstraction:6},{Post-Impressionism:8},{Surrealism:14}",35,Mohács,1913.0,1999.0,Paris,male,France,painter,Paris,['Paris:1956-1956']
Enrico Prampolini,"Abstract Art, Art Nouveau (Modern), Cubism, Dada, Expressionism, Futurism, Surrealism",Futurism,"{Abstract Art:10},{Art Nouveau (Modern):1},{Cubism:4},{Dada:4},{Expressionism:1},{Futurism:6},{Surrealism:9}",35,Modena,1894.0,1956.0,Rome,male,Kingdom of Italy,"art theorist,designer,scenographer,theatre manager,costume designer,sculptor,painter,architect,photographer,screenwriter",,[]
Erik Bulatov,"Abstract Art, Conceptual Art, Photorealism, Sots Art, Unknown",Sots Art,"{Abstract Art:3},{Conceptual Art:11},{Photorealism:11},{Sots Art:10},{Unknown:3}",38,Yekaterinburg,1933.0,,,male,Soviet Union,"conceptual artist,sculptor,painter,photographer","Paris,Moscow","['Paris:1991-2006', 'Moscow:1967-1967']"
Etienne Hajdu,"Abstract Art, Surrealism",Abstract Art,"{Abstract Art:14},{Surrealism:10}",24,Turda,1907.0,1996.0,Bagneux,male,France,"graphic artist,sculptor,painter",,[]
Fernand Leger,"Abstract Art, Constructivism, Cubism, Naïve Art (Primitivism), Orphism, Purism, Suprematism, Surrealism, Tubism",Cubism,"{Abstract Art:2},{Constructivism:9},{Cubism:139},{Naïve Art (Primitivism):117},{Orphism:23},{Purism:114},{Suprematism:4},{Surrealism:18},{Tubism:20}",446,Argentan,1881.0,1955.0,Gif-sur-Yvette,male,France,"illustrator,artist,teacher,drawer,architectural draftsperson,printmaker,ceramicist,designer,scenographer,film director,graphic artist,filmmaker,costume designer,sculptor,painter","Gif-sur-Yvette,Paris,Munich,Berlin,New York City,Vienna,Switzerland,Caen",[]
Fernando García Ponce,"Abstract Art, Abstract Expressionism, Contemporary Realism, Cubism, Post-Impressionism",Abstract Art,"{Abstract Art:1},{Abstract Expressionism:12},{Contemporary Realism:3},{Cubism:2},{Post-Impressionism:2}",20,Mérida,1933.0,1987.0,Mexico City,male,Mexico,painter,,[]
Fernando Lanhas,Abstract Art,Abstract Art,{Abstract Art:14},14,Porto,1923.0,2012.0,Porto,male,Portugal,"painter,architect,astronomer",,[]
Fernando de Szyszlo,Abstract Art,Abstract Art,{Abstract Art:14},14,Lima,1925.0,2017.0,Lima,male,Peru,"painter,artist",,[]
Francis Picabia,"Abstract Art, Cubism, Dada, Divisionism, Expressionism, Fauvism, Impressionism, Kitsch, Orphism, Surrealism, Unknown",Abstract Art,"{Abstract Art:12},{Cubism:6},{Dada:14},{Divisionism:3},{Expressionism:18},{Fauvism:1},{Impressionism:22},{Kitsch:19},{Orphism:1},{Surrealism:34},{Unknown:1}",131,Paris,1879.0,1953.0,Paris,male,France,"drawer,sculptor,painter,poet,writer,screenwriter","Paris,New York City,Barcelona",[]
Frantisek Kupka,"Abstract Art, Art Nouveau (Modern), Expressionism, Impressionism, Orphism, Symbolism",Abstract Art,"{Abstract Art:1},{Art Nouveau (Modern):5},{Expressionism:27},{Impressionism:5},{Orphism:28},{Symbolism:19}",85,Opočno,1871.0,1957.0,Puteaux,male,Cisleithania,"Czechoslovak legionary,drawer,graphic artist,university teacher,painter,illustrator,graphic designer,teacher",Paris,['Paris:1896-1896']
Franz Marc,"Abstract Art, Cubism, Expressionism, Futurism, Impressionism, Post-Impressionism, Realism, Unknown",Expressionism,"{Abstract Art:2},{Cubism:40},{Expressionism:52},{Futurism:2},{Impressionism:7},{Post-Impressionism:11},{Realism:3},{Unknown:3}",120,Kreuzstraße (München),1880.0,1916.0,Braquis,male,German Empire,"printmaker,visual artist,graphic artist,painter,illustrator","Benediktbeuern,Munich,Berlin,Mulhouse,Kochel,Paris,Lenggries,Sindelsdorf",[]
Félix Del Marle,"Abstract Art, Constructivism, Cubism, Cubo-Futurism, Expressionism, Futurism, Neoplasticism, Surrealism",Abstract Art,"{Abstract Art:4},{Constructivism:5},{Cubism:2},{Cubo-Futurism:1},{Expressionism:2},{Futurism:8},{Neoplasticism:8},{Surrealism:2}",32,Pont-sur-Sambre,1889.0,1952.0,,male,France,"drawer,painter",,[]
Gabriele Munter,"Abstract Art, Expressionism, Post-Impressionism",Expressionism,"{Abstract Art:1},{Expressionism:27},{Post-Impressionism:5}",33,Berlin,1877.0,1962.0,Murnau am Staffelsee,female,Germany,"drawer,printmaker,painter,artist","Stockholm,Murnau am Staffelsee,Switzerland,Garmisch-Partenkirchen,Munich,Tunis,Rapallo,Paris",[]
George Saru,"Abstract Art, Cubism, Expressionism, Unknown",Abstract Art,"{Abstract Art:24},{Cubism:2},{Expressionism:1},{Unknown:4}",31,Checea,1920.0,2003.0,United States,male,Romania,"painter,professor",,[]
Georges Troubat,Abstract Art,Abstract Art,{Abstract Art:12},12,,,,,,,,,
Georgia O'Keeffe,"Abstract Art, Abstract Expressionism, Precisionism, Regionalism, Unknown",Precisionism,"{Abstract Art:19},{Abstract Expressionism:2},{Precisionism:213},{Regionalism:2},{Unknown:1}",237,Sun Prairie,1887.0,1986.0,Santa Fe,female,United States,"drawer,architectural draftsperson,graphic artist,painter,artist","Abiquiú,Virginia,Chicago,New Mexico,New York City,Santa Fe,Austin",['New Mexico:1929-1983']
Gerardo Dottori,"Abstract Art, Futurism, Pointillism",Futurism,"{Abstract Art:2},{Futurism:17},{Pointillism:1}",20,Perugia,1884.0,1977.0,Perugia,male,Kingdom of Italy,"ceramicist,visual artist,painter",,[]
Giacomo Balla,"Abstract Art, Divisionism, Futurism, Impressionism, Pointillism",Futurism,"{Abstract Art:6},{Divisionism:1},{Futurism:58},{Impressionism:2},{Pointillism:3}",70,Turin,1871.0,1958.0,Rome,male,Kingdom of Italy,"drawer,ceramicist,sculptor,painter,artist,teacher,composer",,[]
Gio Pomodoro,Abstract Art,Abstract Art,{Abstract Art:16},16,Orciano di Pesaro,1930.0,2002.0,Milan,male,Kingdom of Italy,"drawer,jewelry designer,graphic artist,sculptor,painter,artist,engraver,goldsmith,architect","Milan,Florence",[]
Gogi Khutsishvili,"Abstract Art, Cubism, Expressionism",Post-Impressionism,"{Abstract Art:7},{Cubism:3},{Expressionism:2}",12,Tbilisi,1941.0,1993.0,Tbilisi,male,Georgia,painter,,[]
Gosta Adrian-Nilsson,"Abstract Art, Cubism, Cubo-Expressionism, Cubo-Futurism, Dada, Expressionism, Orientalism, Orphism, Surrealism, Symbolism",Cubism,"{Abstract Art:4},{Cubism:30},{Cubo-Expressionism:1},{Cubo-Futurism:6},{Dada:2},{Expressionism:2},{Orientalism:3},{Orphism:1},{Surrealism:8},{Symbolism:1}",58,Lund,1884.0,1965.0,Stockholm,male,Sweden,"painter,poet,writer",,[]
Grace Pailthorpe,"Abstract Art, Surrealism",Surrealism,"{Abstract Art:5},{Surrealism:8}",13,St Leonards,1883.0,1971.0,,female,United Kingdom of Great Britain and Ireland,"psychoanalyst,painter,surgeon",,[]
Gregorio Vardanega,"Abstract Art, Concretism, Kinetic Art, Op Art",Kinetic art,"{Abstract Art:2},{Concretism:3},{Kinetic Art:6},{Op Art:25}",36,Possagno,1923.0,2007.0,13th arrondissement of Paris,male,Argentina,"visual artist,sculptor,painter,artist",,[]
Hale Woodruff,"Abstract Art, Expressionism, Muralism, Post-Impressionism, Regionalism",Harlem Renaissance (New Negro Movement),"{Abstract Art:4},{Expressionism:2},{Muralism:2},{Post-Impressionism:3},{Regionalism:4}",15,Cairo Junction,1900.0,1980.0,New York City,male,United States,"printmaker,visual artist,painter",,[]
Hans Richter,"Abstract Art, Cubism, Dada, Expressionism",Dada,"{Abstract Art:6},{Cubism:2},{Dada:14},{Expressionism:3}",25,Vienna,1878.0,1953.0,Vienna,male,German Reich,"writer,administrative lawyer,opinion journalist,jurist",,[]
Henri Matisse,"Abstract Art, Abstract Expressionism, Color Field Painting, Contemporary Realism, Cubism, Divisionism, Expressionism, Fauvism, Figurative Expressionism, Impressionism, Neo-Impressionism, Orientalism, Post-Impressionism, Realism, Unknown",Impressionism,"{Abstract Art:3},{Abstract Expressionism:44},{Color Field Painting:2},{Contemporary Realism:5},{Cubism:9},{Divisionism:1},{Expressionism:278},{Fauvism:258},{Figurative Expressionism:1},{Impressionism:67},{Neo-Impressionism:11},{Orientalism:13},{Post-Impressionism:152},{Realism:29},{Unknown:135}",1008,Le Cateau-Cambrésis,1869.0,1954.0,Nice,male,France,"lithographer,drawer,printmaker,ceramicist,sculptor,painter,artist","New York City,Paris,Vence,London,Saint-Tropez,Nice,Issy-les-Moulineaux,Saint-Quentin,Collioure,Morocco",[]
Henry Moore,"Abstract Art, Expressionism, Neo-Romanticism, Surrealism, Unknown",Abstract Art,"{Abstract Art:20},{Expressionism:3},{Neo-Romanticism:7},{Surrealism:4},{Unknown:1}",35,Castleford,1898.0,1986.0,Much Hadham,male,United Kingdom of Great Britain and Ireland,"watercolorist,architectural draftsperson,printmaker,bandmaster,visual artist,artist,graphic artist,sculptor,illustrator","Hampton,London,Much Hadham,Paris",[]
Henryk Streng,"Abstract Art, Cubism, Expressionism, Surrealism",Cubism,"{Abstract Art:1},{Cubism:15},{Expressionism:14},{Surrealism:6}",36,Lviv,1903.0,1960.0,Warsaw,male,Cisleithania,"visual artist,painter",,[]
Hilma af Klint,"Abstract Art, Abstract Expressionism, Expressionism, Symbolism",Abstract Art,"{Abstract Art:18},{Abstract Expressionism:1},{Expressionism:2},{Symbolism:5}",26,Solna,1862.0,1944.0,Danderyd,female,Sweden,"female painter,artist",Stockholm,[]
Hossein Zenderoudi,Abstract Art,Abstract Art,{Abstract Art:5},5,Tehran,1937.0,,,male,Iran,"drawer,printmaker,calligrapher,sculptor,painter,artist",Paris,['Paris:1961-2003']
Hélène de Beauvoir,"Abstract Art, Cubism, Expressionism, Fauvism, Post-Impressionism, Surrealism",Modernism,"{Abstract Art:8},{Cubism:7},{Expressionism:2},{Fauvism:5},{Post-Impressionism:10},{Surrealism:1}",33,Paris,1910.0,2001.0,Goxwiller,female,France,painter,,[]
Ion Alin Gheorghiu,"Abstract Art, Cubism",Abstract Art,"{Abstract Art:15},{Cubism:20}",35,,1929.0,2001.0,,male,Romania,"sculptor,painter",,[]
Ion Pacea,"Abstract Art, Expressionism, Fauvism, Post-Impressionism",Post-Impressionism,"{Abstract Art:3},{Expressionism:11},{Fauvism:13},{Post-Impressionism:29}",56,Stenimachos,1924.0,1999.0,Bucharest,male,Romania,painter,,[]
Ivan Marchuk,"Abstract Art, Abstract Expressionism, Expressionism, Magic Realism, Pop Art, Unknown",Magic Realism,"{Abstract Art:3},{Abstract Expressionism:1},{Expressionism:1},{Magic Realism:34},{Pop Art:1},{Unknown:1}",41,Moskalivka,1936.0,,,male,Soviet Union,painter,,[]
Jacoba van Heemskerck,"Abstract Art, Cubism, Expressionism, Pointillism",Expressionism,"{Abstract Art:9},{Cubism:2},{Expressionism:10},{Pointillism:2}",23,The Hague,1876.0,1923.0,Domburg,female,Kingdom of the Netherlands,"drawer,visual artist,glass artist,graphic artist,painter,artist",Scheveningen,[]
Jacques Villon,"Abstract Art, Art Nouveau (Modern), Cubism, Expressionism, Fauvism, Post-Impressionism, Purism, Surrealism, Unknown",Cubism,"{Abstract Art:6},{Art Nouveau (Modern):7},{Cubism:29},{Expressionism:3},{Fauvism:1},{Post-Impressionism:11},{Purism:1},{Surrealism:1},{Unknown:1}",60,Damville,1875.0,1963.0,Puteaux,male,France,"visual artist,editorial cartoonist,graphic artist,sculptor,painter,illustrator,engraver",,[]
Janos Mattis-Teutsch,"Abstract Art, Constructivism, Cubism, Expressionism, Fauvism, Socialist Realism",Constructivism,"{Abstract Art:59},{Constructivism:7},{Cubism:4},{Expressionism:2},{Fauvism:31},{Socialist Realism:5}",108,Brașov,1884.0,1960.0,Brașov,male,Romania,"journalist,sculptor,painter,poet,writer",,[]
Javad Hamidi,"Abstract Art, Expressionism, Post-Impressionism, Unknown",Modernism,"{Abstract Art:1},{Expressionism:7},{Post-Impressionism:1},{Unknown:8}",17,,1918.0,2002.0,,male,Iran,painter,,[]
Jean Arp,"Abstract Art, Automatic Painting, Dada, Surrealism, Unknown",Abstract Art,"{Abstract Art:3},{Automatic Painting:1},{Dada:20},{Surrealism:35},{Unknown:2}",61,Strasbourg,1886.0,1966.0,Basel,male,Germany,"drawer,designer,jewelry designer,sculptor,painter,poet,writer,photographer","Clamart,Weimar,United States,Zurich,Austria,Strasbourg,Nérac,Grasse,Veyrier-du-Lac,Meudon,Paris,Amsterdam",[]
Jean David,"Abstract Art, Constructivism, Cubism, Expressionism, Pop Art, Surrealism",Surrealism,"{Abstract Art:1},{Constructivism:6},{Cubism:25},{Expressionism:23},{Pop Art:1},{Surrealism:29}",85,Bucharest,1908.0,1993.0,Tel Aviv,male,Israel,"designer,painter,illustrator",,[]
