artist,Nationality,citizenship,gender,styles,movement,Art500k_Movements,birth_place,death_place,birth_year,death_year,FirstYear,LastYear,wikiart_pictures_count,locations,locations_with_years,styles_extended,StylesCount,StylesYears,occupations,PaintingsExhibitedAt,PaintingsExhibitedAtCount,PaintingSchool,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,Contemporary,pictures_count
Gustav Adolf Mossa,French,France,male,Symbolism,Symbolism,{Symbolism:15},Nice,Nice,1883.0,1971.0,,,15.0,"['Nice', 'Mantua', 'Belgium', 'Paris', 'Venice', 'Padua']","['Nice:1897-1971', 'Mantua:1903-1903', 'Belgium:1911-1911', 'Paris:1900-1900', 'Venice:1903-1903', 'Padua:1903-1903']",{Symbolism:15},{Symbolism:15},,"playwright, illustrator, curator, painter, watercolorist",,,,"Artists2/Gustav Adolf Mossa/The Dead Woman 1920.jpg,Les Parques,Artists2/Gustav Adolf Mossa/Mary The Magdala 1917.jpg,Artists2/Gustav Adolf Mossa/Salome 1908.jpg,Artists2/Gustav Adolf Mossa/Elle 1906.jpg,Le baiser d’Hélène,",,,,,,
Hovsep Pushman,Armenian,United States of America,male,Symbolism,Symbolism,{Symbolism:4},Silvan,New York City,1877.0,1966.0,,,4.0,[],[],{Symbolism:4},{Symbolism:4},,painter,,,,,,,,,,
Leon Spilliaert,Belgian,Belgium,male,Symbolism,Symbolism,"{Symbolism,Expressionism:24}",Ostend,City of Brussels,1881.0,1946.0,1902.0,1945.0,24.0,"['Paris', 'City of Brussels', 'Ostend']","['Paris:1904-1904', 'City of Brussels:1935-1946,1917-1921', 'Ostend:1924-1935,1904-1917']",{Symbolism:24},"{Expressionism:16}, {Symbolism:24}","Expressionism:1907-1920,Symbolism:1902-1945","illustrator, painter, visual artist, drawer, lithographer",,,,,,,,,No,
Max Klinger,German,Germany,male,Symbolism,Symbolism,"{Symbolism:17},{Vienna Secession:3},{Modern art:14}",Leipzig,Großjena,1857.0,1920.0,1878.0,1912.0,8.0,[],[],{Symbolism:8},{Symbolism:8},Symbolism:1878-1910,"exlibrist, printmaker, university teacher, sculptor, painter, volunteer serving one year, writer","US, Germany, Netherlands, Berlin, Houston, Rotterdam, Kunsthalle, Hamburg, Düsseldorf, MFAH","{Düsseldorf:1},{Germany:3},{MFAH:2},{Houston:2},{US:2},{Rotterdam:1},{Netherlands:1},{Kunsthalle:1},{Hamburg:2},{Berlin:1}",,"Adolph Menzel,Francisco Goya,","Giorgio de Chirico,",,,"Nicola Perscheid,",No,
Pierre Puvis de Chavannes,,France,male,Symbolism,Symbolism,"{Symbolism:1},{Modern art:1}",Lyon,Paris,1824.0,1898.0,1867.0,1875.0,70.0,"['Belgium', 'Italy', 'Paris', 'London', 'Netherlands']","['Italy:1848-1848,1846-1846', 'Paris:1846-1848,1848-1848']",{Symbolism:70},,,"photographer, painter",France,{France:2},,,,,,,No,
William Blake,British,Kingdom of Great Britain,male,"Symbolism, Unknown",Romanticism,"{Romanticism:6},{Romanticism,Symbolism:111}",London,London,1757.0,1827.0,1786.0,1827.0,111.0,"['London', 'Felpham']",[],"{Symbolism:108},{Unknown:3}",{Symbolism:111},Symbolism:1786-1827,"writer, poet, printer, illustrator, painter, theologian, sculptor, collector, philosopher, librettist, printmaker, architectural draftsperson, lithographer","London, US, Manchester, Melbourne, England, UK, New Haven, Cambridge, NY, Victoria, Philadelphia, United Kingdom, PA, Australia, New York City, Sussex","{England:8},{London:280},{United Kingdom:1},{New York City:2},{NY:2},{US:7},{UK:18},{Melbourne:2},{Australia:2},{New Haven:4},{Cambridge:6},{Manchester:3},{Sussex:1},{Victoria:1},{Philadelphia:1},{PA:1}",English school,,"Samuel Palmer,",,,,No,
Morgan Russell,American,United States of America,male,Synchromism,Modernism,{Synchromism:13},New York City,Philadelphia,1886.0,1953.0,1912.0,1916.0,13.0,[],[],{Synchromism:13},{Synchromism:13},Synchromism:1912-1916,"drawer, painter, artist",,,,,,,,,No,
Charles Laval,,France,male,Synthetism,Post-Impressionism,{Synthetism:1},9th arrondissement of Paris,14th arrondissement of Paris,1862.0,1894.0,,,11.0,[],[],{Synthetism:11},,,painter,,,,,,,,,,
Alexandre Istrati,"French,Romanian",France,male,Tachisme,Abstract Art,{Tachisme:44},Dorohoi,Paris,1915.0,1991.0,1950.0,1991.0,44.0,['Paris'],['Paris:1947-1991'],{Tachisme:44},{Tachisme:44},Tachisme:1950-1991,painter,,,École de Paris,,,,,,,
Camille Bryen,,France,male,Tachisme,Abstract Art,{Tachisme:24},Nantes,4th arrondissement of Paris,1907.0,1977.0,1949.0,1975.0,24.0,['Volendam'],['Volendam:1957-1957'],{Tachisme:24},{Tachisme:24},Tachisme:1949-1975,"poet, illustrator, painter, sculptor, printmaker","France, Paris","{France:4},{Paris:1}","École de Paris,Phases",,,,,,No,
Emil Schumacher,German,Germany,male,Tachisme,Tachisme,{Tachisme:25},Hagen,Sant Josep de sa Talaia,1912.0,1999.0,1956.0,1997.0,25.0,[],[],{Tachisme:25},{Tachisme:25},Tachisme:1956-1997,"printmaker, ceramicist, graphic artist, university teacher, painter",,,,,,,,,,
Georges Mathieu,French,France,male,Tachisme,Abstract Art,"{Art Informel,Tachisme:22}",Boulogne-sur-Mer,Paris,1921.0,2012.0,1954.0,1990.0,22.0,[],[],{Tachisme:22},{Tachisme:22},Tachisme:1954-1990,"art theorist, drawer, ceramicist, postage stamp designer, medalist, painter",,,,,,,,,,
Gerard Schneider,"French,Swiss",Switzerland,male,Tachisme,Abstract Art,{Tachisme:18},Sainte-Croix,Paris,1896.0,1986.0,1948.0,1986.0,18.0,['France'],['France:1916-1986'],{Tachisme:18},{Tachisme:18},Tachisme:1948-1986,"painter, graphic artist, printmaker",,,École de Paris,,,,,,,
Hans Hartung,"French,German",,male,Tachisme,Abstract Art,{Tachisme:21},Leipzig,,1904.0,,1921.0,1989.0,21.0,['German South-West Africa'],[],{Tachisme:21},{Tachisme:21},Tachisme:1921-1989,train conductor,,,,,,,,,,
Jean Bertholle,French,France,male,"Tachisme, Unknown",Abstract Art,{Tachisme:12},Dijon,4th arrondissement of Paris,1909.0,1996.0,1955.0,1986.0,12.0,[],[],"{Tachisme:11},{Unknown:1}",{Tachisme:11},Tachisme:1955-1986,"graphic artist, painter",,,École de Paris,,,,,,,
Louis Van Lint,Belgian,Belgium,male,"Tachisme, Unknown",Abstract Art,{Tachisme:5},Saint-Josse-ten-Noode,Brussels metropolitan area,1909.0,1986.0,,,5.0,"['France', 'City of Brussels', 'Spain']",['City of Brussels:1959-1959'],"{Tachisme:1},{Unknown:4}",{Tachisme:5},,painter,"Belgium, Brussels","{Belgium:4},{Brussels:2}",Jeune Peinture Belge,,,,,,,
